	Lineage
id334542	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Nocardiaceae; Rhodococcus; Rhodococcus_qingshengii; 334542
id1827	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Nocardiaceae; Rhodococcus; Rhodococcus_sp; 1827
id85007	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; NA; NA; Mycobacteriales_sp; 85007
id2107713	Bacteria; Actinomycetota; Actinomycetes; Propionibacteriales; Nocardioidaceae; Aeromicrobium; Aeromicrobium_A1-2; 2107713
id546871	Bacteria; Actinomycetota; Actinomycetes; Propionibacteriales; Nocardioidaceae; Friedmanniella; Friedmanniella_luteola; 546871
id200618	Bacteria; Actinomycetota; Actinomycetes; Propionibacteriales; Nocardioidaceae; Nocardioides; Nocardioides_aromaticivorans; 200618
id2898796	Bacteria; Actinomycetota; Actinomycetes; Propionibacteriales; Nocardioidaceae; Nocardioides; Nocardioides_cx-173; 2898796
id450734	Bacteria; Actinomycetota; Actinomycetes; Propionibacteriales; Nocardioidaceae; Nocardioides; Nocardioides_dokdonensis; 450734
id2518370	Bacteria; Actinomycetota; Actinomycetes; Propionibacteriales; Nocardioidaceae; Nocardioides; Nocardioides_euryhalodurans; 2518370
id2045452	Bacteria; Actinomycetota; Actinomycetes; Propionibacteriales; Nocardioidaceae; Nocardioides; Nocardioides_houyundeii; 2045452
id449461	Bacteria; Actinomycetota; Actinomycetes; Propionibacteriales; Nocardioidaceae; Nocardioides; Nocardioides_humi; 449461
id2760705	Bacteria; Actinomycetota; Actinomycetes; Propionibacteriales; Nocardioidaceae; Nocardioides; Nocardioides_InS609-2; 2760705
id2589074	Bacteria; Actinomycetota; Actinomycetes; Propionibacteriales; Nocardioidaceae; Nocardioides; Nocardioides_sambongensis; 2589074
id2518371	Bacteria; Actinomycetota; Actinomycetes; Propionibacteriales; Nocardioidaceae; Nocardioides; Nocardioides_seonyuensis; 2518371
id1839	Bacteria; Actinomycetota; Actinomycetes; Propionibacteriales; Nocardioidaceae; Nocardioides; Nocardioides_sp; 1839
id2486272	Bacteria; Actinomycetota; Actinomycetes; Propionibacteriales; Nocardioidaceae; Nocardioides; Nocardioides_WS12; 2486272
id2500546	Bacteria; Actinomycetota; Actinomycetes; Propionibacteriales; Nocardioidaceae; Nocardioides; Nocardioides_yefusunii; 2500546
id2803858	Bacteria; Actinomycetota; Actinomycetes; Propionibacteriales; Nocardioidaceae; Nocardioides; Nocardioides_zg-536; 2803858
id2045	Bacteria; Actinomycetota; Actinomycetes; Propionibacteriales; Nocardioidaceae; Pimelobacter; Pimelobacter_simplex; 2045
id85015	Bacteria; Actinomycetota; Actinomycetes; Propionibacteriales; Nocardioidaceae; NA; Nocardioidaceae_sp; 85015
id1748	Bacteria; Actinomycetota; Actinomycetes; Propionibacteriales; Propionibacteriaceae; Acidipropionibacterium; Acidipropionibacterium_acidipropionici; 1748
id1749	Bacteria; Actinomycetota; Actinomycetes; Propionibacteriales; Propionibacteriaceae; Acidipropionibacterium; Acidipropionibacterium_jensenii; 1749
id33010	Bacteria; Actinomycetota; Actinomycetes; Propionibacteriales; Propionibacteriaceae; Cutibacterium; Cutibacterium_avidum; 33010
id119981	Bacteria; Actinomycetota; Actinomycetes; Propionibacteriales; Propionibacteriaceae; Propionibacterium; Propionibacterium_australiense; 119981
id1744	Bacteria; Actinomycetota; Actinomycetes; Propionibacteriales; Propionibacteriaceae; Propionibacterium; Propionibacterium_freudenreichii; 1744
id1743	Bacteria; Actinomycetota; Actinomycetes; Propionibacteriales; Propionibacteriaceae; Propionibacterium; Propionibacterium_sp; 1743
id31957	Bacteria; Actinomycetota; Actinomycetes; Propionibacteriales; Propionibacteriaceae; NA; Propionibacteriaceae_sp; 31957
id85009	Bacteria; Actinomycetota; Actinomycetes; Propionibacteriales; NA; NA; Propionibacteriales_sp; 85009
id1760	Bacteria; Actinomycetota; Actinomycetes; NA; NA; NA; Actinomycetes_sp; 1760
id201174	Bacteria; Actinomycetota; NA; NA; NA; NA; Actinomycetota_sp; 201174
id547144	Bacteria; Aquificota; Aquificae; Aquificales; Aquificaceae; Hydrogenobaculum; Hydrogenobaculum_HO; 547144
id309805	Bacteria; Aquificota; Aquificae; Aquificales; Hydrogenothermaceae; Persephonella; Persephonella_marina; 309805
id1005039	Bacteria; Armatimonadota; Fimbriimonadia; Fimbriimonadales; Fimbriimonadaceae; Fimbriimonas; Fimbriimonas_ginsengisoli; 1005039
id1475485	Bacteria; Bacillota; Bacilli; Bacillales; Alicyclobacillaceae; Alicyclobacillus; Alicyclobacillus_dauci; 1475485
id1892404	Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus_ABP14; 1892404
id293387	Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus_altitudinis; 293387
id1390	Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus_amyloliquefaciens; 1390
id1392	Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus_anthracis; 1392
id1452	Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus_atrophaeus; 1452
id1455	Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus_badius; 1455
id1396	Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus_cereus; 1396
id260554	Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus_halotolerans; 260554
id1402	Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus_licheniformis; 1402
id1471	Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus_methanolicus; 1471
id1405	Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus_mycoides; 1405
id1071078	Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus_NSP9.1; 1071078
id2026186	Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus_paranthracis; 2026186
id64104	Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus_pseudomycoides; 64104
id1408	Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus_pumilus; 1408
id561879	Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus_safensis; 561879
id659243	Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus_siamensis; 659243
id1386	Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus_sp; 1386
id1423	Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus_subtilis; 1423
id1428	Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus_thuringiensis; 1428
id492670	Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus_velezensis; 492670
id1890302	Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus_wiedmannii; 1890302
id1413	Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Evansella; Evansella_cellulosilytica; 1413
id255247	Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Fictibacillus; Fictibacillus_arsenicus; 255247
id1233873	Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Geobacillus; Geobacillus_GHH01; 1233873
id129338	Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Geobacillus; Geobacillus_subterraneus; 129338
id2663022	Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Gracilibacillus; Gracilibacillus_salitolerans; 2663022
id1467	Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Lederbergia; Lederbergia_lenta; 1467
id400634	Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Lysinibacillus; Lysinibacillus_sp; 400634
id2086577	Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Lysinibacillus; Lysinibacillus_timonensis; 2086577
id2897333	Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Metabacillus; Metabacillus_B2-18; 2897333
id1535204	Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Metabacillus; Metabacillus_endolithicus; 1535204
id152268	Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Metabacillus; Metabacillus_litoralis; 152268
id182709	Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Oceanobacillus; Oceanobacillus_sp; 182709
id1426	Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Parageobacillus; Parageobacillus_thermoglucosidasius; 1426
id450367	Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Peribacillus; Peribacillus_frigoritolerans; 450367
id1404	Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Priestia; Priestia_megaterium; 1404
id2963940	Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Rossellomorea; Rossellomorea_KS-H15a; 2963940
id459532	Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Terribacillus; Terribacillus_sp; 459532
id1398	Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Weizmannia; Weizmannia_coagulans; 1398
id186817	Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; NA; Bacillaceae_sp; 186817
id1641	Bacteria; Bacillota; Bacilli; Bacillales; Listeriaceae; Listeria; Listeria_grayi; 1641
id1642	Bacteria; Bacillota; Bacilli; Bacillales; Listeriaceae; Listeria; Listeria_innocua; 1642
id1639	Bacteria; Bacillota; Bacilli; Bacillales; Listeriaceae; Listeria; Listeria_monocytogenes; 1639
id51101	Bacteria; Bacillota; Bacilli; Bacillales; Paenibacillaceae; Brevibacillus; Brevibacillus_agri; 51101
id2950604	Bacteria; Bacillota; Bacilli; Bacillales; Paenibacillaceae; Brevibacillus; Brevibacillus_BB3-R1; 2950604
id1619311	Bacteria; Bacillota; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus; Paenibacillus_physcomitrellae; 1619311
id1406	Bacteria; Bacillota; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus; Paenibacillus_polymyxa; 1406
id2942204	Bacteria; Bacillota; Bacilli; Bacillales; Planococcaceae; Sporosarcina; Sporosarcina_Marseille-Q4943; 2942204
id1930546	Bacteria; Bacillota; Bacilli; Bacillales; Planococcaceae; Sporosarcina; Sporosarcina_P37; 1930546
id1474	Bacteria; Bacillota; Bacilli; Bacillales; Planococcaceae; Sporosarcina; Sporosarcina_pasteurii; 1474
id269673	Bacteria; Bacillota; Bacilli; Bacillales; Sporolactobacillaceae; Sporolactobacillus; Sporolactobacillus_terrae; 269673
id227979	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Jeotgalicoccus; Jeotgalicoccus_sp; 227979
id1855823	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Macrococcus; Macrococcus_canis; 1855823
id1898474	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Macrococcus; Macrococcus_IME1552; 1898474
id69965	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Macrococcus; Macrococcus_sp; 69965
id42858	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Mammaliicoccus; Mammaliicoccus_lentus; 42858
id2962659	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Mammaliicoccus; Mammaliicoccus_Marseille-Q6498; 2962659
id1296	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Mammaliicoccus; Mammaliicoccus_sciuri; 1296
id71237	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Mammaliicoccus; Mammaliicoccus_vitulinus; 71237
id2799680	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_11-B-312; 2799680
id2583989	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_17KM0847; 2583989
id985762	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_agnetis; 985762
id1715860	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_AntiMn-1; 1715860
id985002	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_argenteus; 985002
id29378	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_arlettae; 29378
id1280	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_aureus; 1280
id29379	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_auricularis; 29379
id29388	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_capitis; 29388
id29380	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_caprae; 29380
id1281	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_carnosus; 1281
id46126	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_chromogenes; 46126
id74706	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_coagulans; 74706
id29382	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_cohnii; 29382
id70255	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_condimenti; 70255
id2044912	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_debuckii; 2044912
id53344	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_delphini; 53344
id1955013	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_edaphicus; 1955013
id1282	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_epidermidis; 1282
id246432	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_equorum; 246432
id46127	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_felis; 46127
id1293	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_gallinarum; 1293
id1283	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_haemolyticus; 1283
id2897335	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_HL28; 2897335
id1290	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_hominis; 1290
id1284	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_hyicus; 1284
id2929481	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_IVB6181; 2929481
id2989767	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_IVB6218; 2989767
id2989769	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_IVB6233; 2989769
id29384	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_kloosii; 29384
id2781774	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_lloydii; 2781774
id28035	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_lugdunensis; 28035
id155085	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_lutrae; 155085
id2025492	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_M0911; 2025492
id1912064	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_MI_10-1553; 1912064
id1294	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_muscae; 1294
id2836364	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_MZ3; 2836364
id2836365	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_MZ7; 2836365
id2836366	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_MZ8; 2836366
id2836367	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_MZ9; 2836367
id214473	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_nepalensis; 214473
id3020908	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_NRL_22/194; 3020908
id45972	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_pasteuri; 45972
id1276936	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_petrasii; 1276936
id170573	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_pettenkoferi; 170573
id70258	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_piscifermentans; 70258
id283734	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_pseudintermedius; 283734
id2282419	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_pseudoxylosus; 2282419
id2892440	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_ratti; 2892440
id2699836	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_roterodami; 2699836
id33028	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_saccharolyticus; 33028
id29385	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_saprophyticus; 29385
id2813777	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_SB1-57; 2813777
id1295	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_schleiferi; 1295
id1654388	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_schweitzeri; 1654388
id308354	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_simiae; 308354
id1286	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_simulans; 1286
id1279	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_sp; 1279
id61015	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_succinus; 61015
id94138	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_ureilyticus; 94138
id1292	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_warneri; 1292
id1288	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus_xylosus; 1288
id90964	Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; NA; Staphylococcaceae_sp; 90964
id33986	Bacteria; Bacillota; Bacilli; Bacillales; NA; Exiguobacterium; Exiguobacterium_sp; 33986
id1785995	Bacteria; Bacillota; Bacilli; Bacillales; NA; Gemella; Gemella_oral_taxon_928; 1785995
id1385	Bacteria; Bacillota; Bacilli; Bacillales; NA; NA; Bacillales_sp; 1385
id119206	Bacteria; Bacillota; Bacilli; Lactobacillales; Aerococcaceae; Aerococcus; Aerococcus_sanguinicola; 119206
id1375	Bacteria; Bacillota; Bacilli; Lactobacillales; Aerococcaceae; Aerococcus; Aerococcus_sp; 1375
id1376	Bacteria; Bacillota; Bacilli; Lactobacillales; Aerococcaceae; Aerococcus; Aerococcus_urinae; 1376
id51665	Bacteria; Bacillota; Bacilli; Lactobacillales; Aerococcaceae; Aerococcus; Aerococcus_urinaeequi; 51665
id1377	Bacteria; Bacillota; Bacilli; Lactobacillales; Aerococcaceae; Aerococcus; Aerococcus_viridans; 1377
id208596	Bacteria; Bacillota; Bacilli; Lactobacillales; Carnobacteriaceae; Carnobacterium; Carnobacterium_17-4; 208596
id1564681	Bacteria; Bacillota; Bacilli; Lactobacillales; Carnobacteriaceae; Carnobacterium; Carnobacterium_CP1; 1564681
id147709	Bacteria; Bacillota; Bacilli; Lactobacillales; Carnobacteriaceae; Carnobacterium; Carnobacterium_inhibens; 147709
id2751	Bacteria; Bacillota; Bacilli; Lactobacillales; Carnobacteriaceae; Carnobacterium; Carnobacterium_maltaromaticum; 2751
id2747	Bacteria; Bacillota; Bacilli; Lactobacillales; Carnobacteriaceae; Carnobacterium; Carnobacterium_sp; 2747
id174587	Bacteria; Bacillota; Bacilli; Lactobacillales; Carnobacteriaceae; Carnobacterium; Carnobacterium_viridans; 174587
id29394	Bacteria; Bacillota; Bacilli; Lactobacillales; Carnobacteriaceae; Dolosigranulum; Dolosigranulum_pigrum; 29394
id46124	Bacteria; Bacillota; Bacilli; Lactobacillales; Carnobacteriaceae; Granulicatella; Granulicatella_adiacens; 46124
id137732	Bacteria; Bacillota; Bacilli; Lactobacillales; Carnobacteriaceae; Granulicatella; Granulicatella_elegans; 137732
id117563	Bacteria; Bacillota; Bacilli; Lactobacillales; Carnobacteriaceae; Granulicatella; Granulicatella_sp; 117563
