#S6	Level1	Level2	Level3	Level4
23.81809518260835	Metabolism	Metabolism of other amino acids	Selenocompound metabolism	Selenocompound metabolism
29.483847077486725	Environmental Information Processing	Membrane transport	ABC transporters	ABC transporters
23.417898434276935	Metabolism	Energy metabolism	Oxidative phosphorylation	Oxidative phosphorylation
24.335398230121545	Metabolism	Glycan biosynthesis and metabolism	Peptidoglycan biosynthesis	Peptidoglycan biosynthesis
22.24634426752551	Human Diseases	Drug resistance: antimicrobial	beta-Lactam resistance	beta-Lactam resistance
26.321740754081056	Genetic Information Processing	Folding, sorting and degradation	RNA degradation	RNA degradation
24.01688897857376	Metabolism	Glycan biosynthesis and metabolism	Teichoic acid biosynthesis	Teichoic acid biosynthesis
23.344546217129068	Environmental Information Processing	Signal transduction	Two-component system	Two-component system
24.599242921674158	Genetic Information Processing	Replication and repair	Mismatch repair	Mismatch repair
32.998051134177786	Metabolism	Nucleotide metabolism	Pyrimidine metabolism	Pyrimidine metabolism
32.33434458620911	Genetic Information Processing	Transcription	RNA polymerase	RNA polymerase
22.710028812539143	Metabolism	Metabolism of other amino acids	Taurine and hypotaurine metabolism	Taurine and hypotaurine metabolism
23.918861293158617	Genetic Information Processing	Replication and repair	DNA replication	DNA replication
26.85406653780714	Genetic Information Processing	Replication and repair	Homologous recombination	Homologous recombination
19.43867027478414	Human Diseases	Infectious disease: bacterial	Legionellosis	Legionellosis
49.43083450560222	Genetic Information Processing	Translation	Ribosome	Ribosome
24.157982272275845	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	Glycolysis / Gluconeogenesis
22.822360892010938	Metabolism	Energy metabolism	Carbon fixation in photosynthetic organisms	Carbon fixation in photosynthetic organisms
30.948152271704902	Human Diseases	Infectious disease: bacterial	Salmonella infection	Salmonella infection
21.820350965065707	Metabolism	Amino acid metabolism	Arginine biosynthesis	Arginine biosynthesis
22.962191801207936	Metabolism	Amino acid metabolism	Alanine, aspartate and glutamate metabolism	Alanine, aspartate and glutamate metabolism
17.615935963303084	Metabolism	Energy metabolism	Nitrogen metabolism	Nitrogen metabolism
17.113333333333333	Metabolism	Lipid metabolism	Secondary bile acid biosynthesis	Secondary bile acid biosynthesis
29.54931396321961	Metabolism	Lipid metabolism	Glycerophospholipid metabolism	Glycerophospholipid metabolism
41.166666666666664	Organismal Systems	Digestive system	Mineral absorption	Mineral absorption
23.659033617839913	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	Citrate cycle (TCA cycle)
28.36973867257595	Metabolism	Global and overview maps	Nucleotide metabolism	Nucleotide metabolism
25.89278942025692	Human Diseases	Drug resistance: antimicrobial	Cationic antimicrobial peptide (CAMP) resistance	Cationic antimicrobial peptide (CAMP) resistance
26.90341581841582	Metabolism	Biosynthesis of other secondary metabolites	Streptomycin biosynthesis	Streptomycin biosynthesis
25.39757318580778	Genetic Information Processing	Replication and repair	Base excision repair	Base excision repair
30.423948057936716	Cellular Processes	Cell motility	Flagellar assembly	Flagellar assembly
30.71848805059265	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	Pentose and glucuronate interconversions
22.391171661954758	Metabolism	Xenobiotics biodegradation and metabolism	Drug metabolism - other enzymes	Drug metabolism - other enzymes
27.50864657865232	Metabolism	Metabolism of cofactors and vitamins	Thiamine metabolism	Thiamine metabolism
19.813428554081327	Genetic Information Processing	Folding, sorting and degradation	Sulfur relay system	Sulfur relay system
30.086602122697276	Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Escherichia coli	Biofilm formation - Escherichia coli
21.129834618077194	Organismal Systems	Aging	Longevity regulating pathway - multiple species	Longevity regulating pathway - multiple species
29.81649184149184	Human Diseases	Cancer: overview	Chemical carcinogenesis - reactive oxygen species	Chemical carcinogenesis - reactive oxygen species
29.80664250342967	Cellular Processes	Cell growth and death	Cell cycle - Caulobacter	Cell cycle - Caulobacter
14.371590909090909	Human Diseases	Infectious disease: bacterial	Epithelial cell signaling in Helicobacter pylori infection	Epithelial cell signaling in Helicobacter pylori infection
28.33096546310832	Organismal Systems	Environmental adaptation	Plant-pathogen interaction	Plant-pathogen interaction
22.02448738960149	Metabolism	Amino acid metabolism	Histidine metabolism	Histidine metabolism
17.117522335804843	Metabolism	Amino acid metabolism	Tyrosine metabolism	Tyrosine metabolism
26.78358817895189	Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Vibrio cholerae	Biofilm formation - Vibrio cholerae
19.554761904761904	Organismal Systems	Endocrine system	Insulin signaling pathway	Insulin signaling pathway
29.571655178374478	Metabolism	Amino acid metabolism	Valine, leucine and isoleucine biosynthesis	Valine, leucine and isoleucine biosynthesis
34.76602564102564	Genetic Information Processing	Translation	Ribosome biogenesis in eukaryotes	Ribosome biogenesis in eukaryotes
18.226790595027133	Metabolism	Metabolism of cofactors and vitamins	Porphyrin metabolism	Porphyrin metabolism
22.634911616161617	Metabolism	Glycan biosynthesis and metabolism	Exopolysaccharide biosynthesis	Exopolysaccharide biosynthesis
78.56	Human Diseases	Infectious disease: bacterial	Bacterial invasion of epithelial cells	Bacterial invasion of epithelial cells
57.338112196445536	Human Diseases	Infectious disease: bacterial	Staphylococcus aureus infection	Staphylococcus aureus infection
17.944963758203055	Metabolism	Lipid metabolism	Fatty acid degradation	Fatty acid degradation
32.118538324420676	Metabolism	Metabolism of cofactors and vitamins	Retinol metabolism	Retinol metabolism
15.345454545454546	Human Diseases	Infectious disease: parasitic	Amoebiasis	Amoebiasis
20.833126683266826	Metabolism	Glycan biosynthesis and metabolism	Other glycan degradation	Other glycan degradation
23.335082709933424	Cellular Processes	Cell motility	Bacterial chemotaxis	Bacterial chemotaxis
13.817708333333334	Metabolism	Glycan biosynthesis and metabolism	Arabinogalactan biosynthesis - Mycobacterium	Arabinogalactan biosynthesis - Mycobacterium
20.302680652680653	Metabolism	Metabolism of other amino acids	Phosphonate and phosphinate metabolism	Phosphonate and phosphinate metabolism
22.968649057419114	Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Pseudomonas aeruginosa	Biofilm formation - Pseudomonas aeruginosa
30.09090909090909	Cellular Processes	Transport and catabolism	Autophagy - yeast	Autophagy - yeast
40.80987911790831	Human Diseases	Infectious disease: bacterial	Pertussis	Pertussis
23.737906387870503	Metabolism	Glycan biosynthesis and metabolism	Lipopolysaccharide biosynthesis	Lipopolysaccharide biosynthesis
10.446047008547009	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of siderophore group nonribosomal peptides	Biosynthesis of siderophore group nonribosomal peptides
10.509615384615383	Metabolism	Lipid metabolism	Biosynthesis of unsaturated fatty acids	Biosynthesis of unsaturated fatty acids
16.25	Organismal Systems	Endocrine system	Renin-angiotensin system	Renin-angiotensin system
11.012820512820513	Genetic Information Processing	Folding, sorting and degradation	Protein processing in endoplasmic reticulum	Protein processing in endoplasmic reticulum
9.907142857142857	Metabolism	Glycan biosynthesis and metabolism	Lipoarabinomannan (LAM) biosynthesis	Lipoarabinomannan (LAM) biosynthesis
12.360416666666666	Organismal Systems	Digestive system	Protein digestion and absorption	Protein digestion and absorption
13.15151515151515	Cellular Processes	Cell growth and death	Apoptosis - fly	Apoptosis - fly
18.6	Human Diseases	Infectious disease: bacterial	Vibrio cholerae infection	Vibrio cholerae infection
15.388888888888891	Human Diseases	Neurodegenerative disease	Spinocerebellar ataxia	Spinocerebellar ataxia
9.666666666666666	Cellular Processes	Cell growth and death	Apoptosis	Apoptosis
13.0	Human Diseases	Infectious disease: viral	Hepatitis C	Hepatitis C
12.75	Cellular Processes	Cellular community - eukaryotes	Signaling pathways regulating pluripotency of stem cells	Signaling pathways regulating pluripotency of stem cells
8.272727272727273	Human Diseases	Infectious disease: parasitic	Chagas disease	Chagas disease
8.25	Organismal Systems	Digestive system	Cholesterol metabolism	Cholesterol metabolism
6.0	Genetic Information Processing	Replication and repair	Non-homologous end-joining	Non-homologous end-joining
5.0	Genetic Information Processing	Folding, sorting and degradation	Proteasome	Proteasome
9.0	Human Diseases	Cancer: specific types	Breast cancer	Breast cancer
5.0	Cellular Processes	Cell growth and death	Oocyte meiosis	Oocyte meiosis
22.0	Genetic Information Processing	Translation	Nucleocytoplasmic transport	Nucleocytoplasmic transport
