#S28	Level1	Level2	Level3	Level4
46.58343566593304	Genetic Information Processing	Transcription	RNA polymerase	RNA polymerase
35.78619625372499	Organismal Systems	Aging	Longevity regulating pathway - multiple species	Longevity regulating pathway - multiple species
31.368911073347004	Metabolism	Amino acid metabolism	Valine, leucine and isoleucine biosynthesis	Valine, leucine and isoleucine biosynthesis
115.72183934242851	Human Diseases	Infectious disease: bacterial	Staphylococcus aureus infection	Staphylococcus aureus infection
47.35341309514107	Metabolism	Glycan biosynthesis and metabolism	Teichoic acid biosynthesis	Teichoic acid biosynthesis
52.47720139569159	Human Diseases	Drug resistance: antimicrobial	Cationic antimicrobial peptide (CAMP) resistance	Cationic antimicrobial peptide (CAMP) resistance
23.330252100840337	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of siderophore group nonribosomal peptides	Biosynthesis of siderophore group nonribosomal peptides
27.654641790599666	Metabolism	Glycan biosynthesis and metabolism	Other glycan degradation	Other glycan degradation
27.735496118665058	Metabolism	Energy metabolism	Oxidative phosphorylation	Oxidative phosphorylation
26.019440065182536	Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism
40.96458909041235	Environmental Information Processing	Membrane transport	Phosphotransferase system (PTS)	Phosphotransferase system (PTS)
28.749023158357545	Metabolism	Amino acid metabolism	Histidine metabolism	Histidine metabolism
44.969294948406514	Metabolism	Carbohydrate metabolism	Galactose metabolism	Galactose metabolism
27.311863196308384	Genetic Information Processing	Replication and repair	Base excision repair	Base excision repair
27.030987623284794	Metabolism	Lipid metabolism	Fatty acid degradation	Fatty acid degradation
32.029411764705884	Genetic Information Processing	Folding, sorting and degradation	Protein processing in endoplasmic reticulum	Protein processing in endoplasmic reticulum
30.59284226190476	Human Diseases	Infectious disease: bacterial	Legionellosis	Legionellosis
25.534796939989402	Genetic Information Processing	Replication and repair	Nucleotide excision repair	Nucleotide excision repair
32.18888888888889	Organismal Systems	Immune system	NOD-like receptor signaling pathway	NOD-like receptor signaling pathway
28.486793909384417	Metabolism	Metabolism of cofactors and vitamins	Porphyrin metabolism	Porphyrin metabolism
24.543839806011746	Metabolism	Amino acid metabolism	Valine, leucine and isoleucine degradation	Valine, leucine and isoleucine degradation
25.675969674592626	Human Diseases	Infectious disease: bacterial	Tuberculosis	Tuberculosis
21.12004528039011	Cellular Processes	Cell motility	Flagellar assembly	Flagellar assembly
32.258772349936145	Human Diseases	Cancer: overview	Chemical carcinogenesis - reactive oxygen species	Chemical carcinogenesis - reactive oxygen species
30.000804904855258	Metabolism	Amino acid metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis	Phenylalanine, tyrosine and tryptophan biosynthesis
26.590415338775692	Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Escherichia coli	Biofilm formation - Escherichia coli
30.772220662446184	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism	Fructose and mannose metabolism
21.120683835938074	Metabolism	Metabolism of terpenoids and polyketides	Limonene and pinene degradation	Limonene and pinene degradation
36.1094696969697	Metabolism	Metabolism of other amino acids	Phosphonate and phosphinate metabolism	Phosphonate and phosphinate metabolism
44.58671536796537	Metabolism	Glycan biosynthesis and metabolism	Exopolysaccharide biosynthesis	Exopolysaccharide biosynthesis
31.671820750377975	Metabolism	Energy metabolism	Sulfur metabolism	Sulfur metabolism
32.95346320346321	Human Diseases	Infectious disease: bacterial	Epithelial cell signaling in Helicobacter pylori infection	Epithelial cell signaling in Helicobacter pylori infection
28.554481600802898	Genetic Information Processing	Folding, sorting and degradation	Sulfur relay system	Sulfur relay system
27.59090909090909	Metabolism	Glycan biosynthesis and metabolism	O-Antigen repeat unit biosynthesis	O-Antigen repeat unit biosynthesis
23.30881445668879	Metabolism	Metabolism of other amino acids	Selenocompound metabolism	Selenocompound metabolism
22.436661255411256	Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Pseudomonas aeruginosa	Biofilm formation - Pseudomonas aeruginosa
24.422977569406136	Human Diseases	Drug resistance: antimicrobial	Vancomycin resistance	Vancomycin resistance
31.7875	Cellular Processes	Cell growth and death	Meiosis - yeast	Meiosis - yeast
34.04409005628518	Human Diseases	Infectious disease: parasitic	Amoebiasis	Amoebiasis
37.97319096414937	Human Diseases	Infectious disease: bacterial	Bacterial invasion of epithelial cells	Bacterial invasion of epithelial cells
49.76307847082495	Organismal Systems	Digestive system	Mineral absorption	Mineral absorption
28.58653846153846	Cellular Processes	Cell growth and death	Apoptosis - fly	Apoptosis - fly
34.86666666666667	Metabolism	Lipid metabolism	Secondary bile acid biosynthesis	Secondary bile acid biosynthesis
21.279786864350484	Cellular Processes	Transport and catabolism	Lysosome	Lysosome
22.68648705096074	Metabolism	Glycan biosynthesis and metabolism	Lipopolysaccharide biosynthesis	Lipopolysaccharide biosynthesis
23.644611528822054	Organismal Systems	Endocrine system	Renin-angiotensin system	Renin-angiotensin system
20.105555555555554	Organismal Systems	Digestive system	Protein digestion and absorption	Protein digestion and absorption
18.72140839386602	Organismal Systems	Endocrine system	Insulin signaling pathway	Insulin signaling pathway
21.2140987105562	Metabolism	Xenobiotics biodegradation and metabolism	Steroid degradation	Steroid degradation
21.08121863799283	Cellular Processes	Cell motility	Bacterial chemotaxis	Bacterial chemotaxis
21.128888888888888	Metabolism	Xenobiotics biodegradation and metabolism	Fluorobenzoate degradation	Fluorobenzoate degradation
20.57064393939394	Metabolism	Glycan biosynthesis and metabolism	Lipoarabinomannan (LAM) biosynthesis	Lipoarabinomannan (LAM) biosynthesis
12.32121212121212	Genetic Information Processing	Folding, sorting and degradation	Proteasome	Proteasome
26.285714285714285	Cellular Processes	Transport and catabolism	Autophagy - yeast	Autophagy - yeast
23.94952380952381	Human Diseases	Infectious disease: parasitic	African trypanosomiasis	African trypanosomiasis
22.522727272727273	Human Diseases	Infectious disease: bacterial	Pertussis	Pertussis
29.25	Organismal Systems	Immune system	Antigen processing and presentation	Antigen processing and presentation
80.0	Cellular Processes	Cell growth and death	Apoptosis	Apoptosis
20.03293650793651	Metabolism	Lipid metabolism	Biosynthesis of unsaturated fatty acids	Biosynthesis of unsaturated fatty acids
22.0	Metabolism	Metabolism of terpenoids and polyketides	Type I polyketide structures	Type I polyketide structures
17.8	Human Diseases	Neurodegenerative disease	Spinocerebellar ataxia	Spinocerebellar ataxia
13.729166666666668	Genetic Information Processing	Replication and repair	Non-homologous end-joining	Non-homologous end-joining
27.458333333333332	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of enediyne antibiotics	Biosynthesis of enediyne antibiotics
32.0	Human Diseases	Drug resistance: antineoplastic	Endocrine resistance	Endocrine resistance
18.0	Metabolism	Xenobiotics biodegradation and metabolism	Bisphenol degradation	Bisphenol degradation
