#S1	Level1	Level2	Level3	Level4
24.732235779161844	Metabolism	Global and overview maps	Carbon metabolism	Carbon metabolism
23.503201737870334	Environmental Information Processing	Signal transduction	Two-component system	Two-component system
22.785373704981705	Metabolism	Global and overview maps	Biosynthesis of cofactors	Biosynthesis of cofactors
24.804183937275535	Genetic Information Processing	Folding, sorting and degradation	RNA degradation	RNA degradation
20.088918092337313	Human Diseases	Drug resistance: antimicrobial	Cationic antimicrobial peptide (CAMP) resistance	Cationic antimicrobial peptide (CAMP) resistance
41.65988221514846	Environmental Information Processing	Membrane transport	Bacterial secretion system	Bacterial secretion system
20.685561817130907	Organismal Systems	Environmental adaptation	Plant-pathogen interaction	Plant-pathogen interaction
56.050400306215124	Human Diseases	Infectious disease: bacterial	Pertussis	Pertussis
27.82880501394065	Metabolism	Amino acid metabolism	Phenylalanine metabolism	Phenylalanine metabolism
26.015418855877805	Metabolism	Metabolism of other amino acids	D-Amino acid metabolism	D-Amino acid metabolism
29.730611830755915	Metabolism	Metabolism of cofactors and vitamins	Biotin metabolism	Biotin metabolism
19.56219242562988	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	Pentose phosphate pathway
22.142064220669784	Metabolism	Energy metabolism	Carbon fixation in photosynthetic organisms	Carbon fixation in photosynthetic organisms
20.853420202766333	Metabolism	Metabolism of cofactors and vitamins	Porphyrin metabolism	Porphyrin metabolism
27.037890096730393	Metabolism	Lipid metabolism	Fatty acid degradation	Fatty acid degradation
35.17028252561733	Metabolism	Amino acid metabolism	Valine, leucine and isoleucine degradation	Valine, leucine and isoleucine degradation
40.90040948834052	Metabolism	Metabolism of terpenoids and polyketides	Geraniol degradation	Geraniol degradation
27.238345243937346	Metabolism	Xenobiotics biodegradation and metabolism	Caprolactam degradation	Caprolactam degradation
25.166957071696302	Metabolism	Energy metabolism	Carbon fixation pathways in prokaryotes	Carbon fixation pathways in prokaryotes
19.4864852385802	Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism	Amino sugar and nucleotide sugar metabolism
19.531020114942528	Human Diseases	Endocrine and metabolic disease	Insulin resistance	Insulin resistance
32.75036544669751	Cellular Processes	Transport and catabolism	Peroxisome	Peroxisome
33.05550896471949	Organismal Systems	Aging	Longevity regulating pathway - multiple species	Longevity regulating pathway - multiple species
28.728278615284154	Human Diseases	Cancer: overview	Chemical carcinogenesis - reactive oxygen species	Chemical carcinogenesis - reactive oxygen species
32.54843304843305	Organismal Systems	Digestive system	Mineral absorption	Mineral absorption
20.63362060686992	Metabolism	Amino acid metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis	Phenylalanine, tyrosine and tryptophan biosynthesis
28.51805449579879	Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Pseudomonas aeruginosa	Biofilm formation - Pseudomonas aeruginosa
29.200000000000003	Cellular Processes	Cell growth and death	Meiosis - yeast	Meiosis - yeast
26.5657618445881	Genetic Information Processing	Folding, sorting and degradation	Protein export	Protein export
21.38801853765435	Metabolism	Metabolism of cofactors and vitamins	Pantothenate and CoA biosynthesis	Pantothenate and CoA biosynthesis
20.113458158827648	Metabolism	Nucleotide metabolism	Pyrimidine metabolism	Pyrimidine metabolism
30.68320774237644	Metabolism	Amino acid metabolism	Glycine, serine and threonine metabolism	Glycine, serine and threonine metabolism
25.86261120154788	Metabolism	Energy metabolism	Sulfur metabolism	Sulfur metabolism
22.38175429672399	Metabolism	Amino acid metabolism	Histidine metabolism	Histidine metabolism
14.974285423126144	Metabolism	Lipid metabolism	Glycerolipid metabolism	Glycerolipid metabolism
18.352054689011997	Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism
26.17424720367445	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	Citrate cycle (TCA cycle)
22.798060983884103	Metabolism	Global and overview maps	Nucleotide metabolism	Nucleotide metabolism
19.350832803282636	Metabolism	Lipid metabolism	Glycerophospholipid metabolism	Glycerophospholipid metabolism
27.08910778985507	Metabolism	Metabolism of other amino acids	Phosphonate and phosphinate metabolism	Phosphonate and phosphinate metabolism
31.0591972680509	Genetic Information Processing	Translation	Ribosome	Ribosome
37.61832221586939	Metabolism	Xenobiotics biodegradation and metabolism	Styrene degradation	Styrene degradation
20.19608614466456	Metabolism	Amino acid metabolism	Lysine biosynthesis	Lysine biosynthesis
36.92399267399268	Human Diseases	Infectious disease: bacterial	Epithelial cell signaling in Helicobacter pylori infection	Epithelial cell signaling in Helicobacter pylori infection
23.913380523901438	Cellular Processes	Cell motility	Bacterial chemotaxis	Bacterial chemotaxis
24.556195064208353	Metabolism	Xenobiotics biodegradation and metabolism	Drug metabolism - other enzymes	Drug metabolism - other enzymes
36.46962025316456	Human Diseases	Cancer: overview	Chemical carcinogenesis - DNA adducts	Chemical carcinogenesis - DNA adducts
28.394273618440206	Metabolism	Energy metabolism	Oxidative phosphorylation	Oxidative phosphorylation
24.347180285988575	Genetic Information Processing	Replication and repair	Homologous recombination	Homologous recombination
23.62505995638395	Genetic Information Processing	Translation	Aminoacyl-tRNA biosynthesis	Aminoacyl-tRNA biosynthesis
25.502129434149136	Metabolism	Metabolism of cofactors and vitamins	Riboflavin metabolism	Riboflavin metabolism
14.674278846153847	Metabolism	Metabolism of terpenoids and polyketides	Nonribosomal peptide structures	Nonribosomal peptide structures
26.055807157735483	Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Vibrio cholerae	Biofilm formation - Vibrio cholerae
23.629389730097426	Human Diseases	Infectious disease: bacterial	Legionellosis	Legionellosis
28.27139717425432	Human Diseases	Infectious disease: bacterial	Tuberculosis	Tuberculosis
19.27881936961255	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	Pentose and glucuronate interconversions
17.122287314642037	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism	Fructose and mannose metabolism
24.972349384333402	Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Escherichia coli	Biofilm formation - Escherichia coli
46.333333333333336	Metabolism	Lipid metabolism	Biosynthesis of unsaturated fatty acids	Biosynthesis of unsaturated fatty acids
23.352206439869498	Metabolism	Metabolism of other amino acids	Selenocompound metabolism	Selenocompound metabolism
21.566208940441676	Metabolism	Amino acid metabolism	Valine, leucine and isoleucine biosynthesis	Valine, leucine and isoleucine biosynthesis
28.42164284517288	Metabolism	Carbohydrate metabolism	C5-Branched dibasic acid metabolism	C5-Branched dibasic acid metabolism
23.059718407048678	Genetic Information Processing	Folding, sorting and degradation	Sulfur relay system	Sulfur relay system
36.489425770308124	Metabolism	Xenobiotics biodegradation and metabolism	Xylene degradation	Xylene degradation
17.27446923466606	Metabolism	Metabolism of cofactors and vitamins	Thiamine metabolism	Thiamine metabolism
27.18391640142212	Metabolism	Glycan biosynthesis and metabolism	Lipopolysaccharide biosynthesis	Lipopolysaccharide biosynthesis
25.99833333333333	Organismal Systems	Endocrine system	Insulin signaling pathway	Insulin signaling pathway
30.052328286200535	Cellular Processes	Cell motility	Flagellar assembly	Flagellar assembly
34.5625	Genetic Information Processing	Translation	Ribosome biogenesis in eukaryotes	Ribosome biogenesis in eukaryotes
24.17348192016486	Cellular Processes	Cell growth and death	Cell cycle - Caulobacter	Cell cycle - Caulobacter
14.226168375951374	Environmental Information Processing	Membrane transport	Phosphotransferase system (PTS)	Phosphotransferase system (PTS)
14.476341781384875	Metabolism	Carbohydrate metabolism	Galactose metabolism	Galactose metabolism
23.093397295454178	Metabolism	Biosynthesis of other secondary metabolites	Streptomycin biosynthesis	Streptomycin biosynthesis
20.50985313038572	Genetic Information Processing	Transcription	RNA polymerase	RNA polymerase
24.423892380142377	Metabolism	Metabolism of other amino acids	Taurine and hypotaurine metabolism	Taurine and hypotaurine metabolism
18.29932332363753	Human Diseases	Drug resistance: antimicrobial	Vancomycin resistance	Vancomycin resistance
14.913338233377642	Metabolism	Glycan biosynthesis and metabolism	Exopolysaccharide biosynthesis	Exopolysaccharide biosynthesis
21.342929877140403	Metabolism	Xenobiotics biodegradation and metabolism	Nitrotoluene degradation	Nitrotoluene degradation
44.26521825396825	Metabolism	Xenobiotics biodegradation and metabolism	Fluorobenzoate degradation	Fluorobenzoate degradation
23.954545454545453	Cellular Processes	Cell growth and death	Apoptosis	Apoptosis
20.51210286469508	Organismal Systems	Immune system	NOD-like receptor signaling pathway	NOD-like receptor signaling pathway
37.6025641025641	Cellular Processes	Cell growth and death	Apoptosis - fly	Apoptosis - fly
19.3030303030303	Human Diseases	Neurodegenerative disease	Spinocerebellar ataxia	Spinocerebellar ataxia
28.29230769230769	Human Diseases	Infectious disease: bacterial	Pathogenic Escherichia coli infection	Pathogenic Escherichia coli infection
20.162649413641713	Metabolism	Glycan biosynthesis and metabolism	Teichoic acid biosynthesis	Teichoic acid biosynthesis
21.333392857142858	Human Diseases	Infectious disease: bacterial	Staphylococcus aureus infection	Staphylococcus aureus infection
15.493031358885018	Genetic Information Processing	Folding, sorting and degradation	Protein processing in endoplasmic reticulum	Protein processing in endoplasmic reticulum
29.866666666666667	Cellular Processes	Transport and catabolism	Autophagy - yeast	Autophagy - yeast
22.85530303030303	Metabolism	Lipid metabolism	Secondary bile acid biosynthesis	Secondary bile acid biosynthesis
11.295959595959596	Human Diseases	Cancer: overview	MicroRNAs in cancer	MicroRNAs in cancer
14.995600162052389	Metabolism	Glycan biosynthesis and metabolism	Other glycan degradation	Other glycan degradation
43.476190476190474	Metabolism	Xenobiotics biodegradation and metabolism	Bisphenol degradation	Bisphenol degradation
23.104245283018866	Human Diseases	Infectious disease: parasitic	Amoebiasis	Amoebiasis
12.392857142857142	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of siderophore group nonribosomal peptides	Biosynthesis of siderophore group nonribosomal peptides
13.4375	Organismal Systems	Endocrine system	Renin-angiotensin system	Renin-angiotensin system
33.731818181818184	Genetic Information Processing	Replication and repair	Non-homologous end-joining	Non-homologous end-joining
23.5	Metabolism	Metabolism of terpenoids and polyketides	Type I polyketide structures	Type I polyketide structures
16.002857142857142	Organismal Systems	Digestive system	Protein digestion and absorption	Protein digestion and absorption
30.0	Genetic Information Processing	Transcription	Spliceosome	Spliceosome
7.516666666666667	Human Diseases	Infectious disease: bacterial	Bacterial invasion of epithelial cells	Bacterial invasion of epithelial cells
31.5	Environmental Information Processing	Signal transduction	Calcium signaling pathway	Calcium signaling pathway
11.6	Human Diseases	Infectious disease: bacterial	Vibrio cholerae infection	Vibrio cholerae infection
9.2	Human Diseases	Infectious disease: parasitic	African trypanosomiasis	African trypanosomiasis
24.0	Human Diseases	Cardiovascular disease	Hypertrophic cardiomyopathy	Hypertrophic cardiomyopathy
2.0	Cellular Processes	Transport and catabolism	Endocytosis	Endocytosis
