taxon	SRR12823316	SRR12823317	SRR12823328	SRR12823343	SRR12823344	SRR12823345	SRR12823346	SRR12823347	SRR12823348	SRR12823349	SRR12823350	SRR12823351	SRR12823352	SRR12823353	SRR12823354	SRR12823362	SRR12823373	SRR12823383	SRR12823385	SRR12823386	SRR12823387	SRR12823388	SRR12823389	SRR12823390	SRR12823391	SRR12823392	SRR12823393	SRR12823394	SRR12823395	SRR12823396	SRR12823397	SRR12823398	SRR12823399	SRR12823400	SRR12823402	SRR12823403	SRR12823404	SRR12823405	SRR12823407	SRR12823408	SRR12823410	SRR12823411	SRR12823412	SRR12823430	SRR12823431	SRR12823433	SRR12823434	SRR12823435	SRR12823436	SRR12823437	SRR12823438	SRR12823439	SRR12823440	SRR12823441	SRR12823315	SRR12823318	SRR12823319	SRR12823320	SRR12823321	SRR12823322	SRR12823323	SRR12823324	SRR12823325	SRR12823326	SRR12823327	SRR12823329	SRR12823330	SRR12823331	SRR12823332	SRR12823333	SRR12823334	SRR12823335	SRR12823336	SRR12823337	SRR12823338	SRR12823340	SRR12823341	SRR12823342	SRR12823355	SRR12823356	SRR12823357	SRR12823358	SRR12823359	SRR12823360	SRR12823361	SRR12823363	SRR12823364	SRR12823365	SRR12823366	SRR12823367	SRR12823368	SRR12823369	SRR12823370	SRR12823371	SRR12823372	SRR12823374	SRR12823375	SRR12823376	SRR12823377	SRR12823378	SRR12823379	SRR12823380	SRR12823381	SRR12823382	SRR12823401	SRR12823409	SRR12823413	SRR12823414	SRR12823415	SRR12823416	SRR12823417	SRR12823418	SRR12823419	SRR12823420	SRR12823423	SRR12823424	SRR12823425	SRR12823426	SRR12823427	SRR12823428	SRR12823429	Kingdom	Phylum	Class	Order	Family	Genus	Species
Gemella haemolysans/morbillorum/parahaemolysans/sanguinis/taiwanensis	16	1	61	12	0	310	420	220	94	1374	371	28	21	0	69	1494	48	0	646	707	1675	798	516	757	122	916	0	0	1133	36	32	204	0	0	10	327	168	631	470	743	3092	542	1098	169	680	1955	511	1365	119	364	21	0	23	5	2118	383	606	367	1286	1343	2282	1867	251	971	713	258	3427	759	733	897	209	3	822	2556	57	917	3259	23	959	150	958	1239	1843	551	1565	0	0	0	0	28	2	8	17	1919	60	1268	736	111	841	1094	959	1312	34	1787	0	994	189	1305	1324	794	5	110	1252	488	1082	545	816	570	190	517	183	Bacteria	Firmicutes	Bacilli	Staphylococcales	Gemellaceae	Gemella	Gemella haemolysans/morbillorum/parahaemolysans/sanguinis/taiwanensis
Porphyromonas Genus	0	3610	21	0	8	21	198	111	17	925	140	30	0	16373	37	139	0	0	240	440	10	132	196	7	78	90	0	0	149	0	1	66	0	0	0	144	293	144	192	0	144	99	184	20	282	414	974	185	179	165	0	2	0	5	2638	277	1122	69	757	575	589	403	10	1228	395	359	502	311	2104	6	20	7447	3	460	34	1207	19	0	640	65	497	979	444	329	284	0	0	0	0	1852	800	15	1625	1108	26	1757	790	5	369	1219	126	712	3	706	0	206	199	158	265	575	6056	7	3238	141	1144	74	190	95	111	362	12	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas Genus
Anaerococcus Genus	2910	1477	0	17	86	5	2	187	0	13	0	0	74	2584	13	45	285	87	3	24	0	31	37	65	3	15	18880	372	9	678	43	4321	0	0	5570	53	28	48	35	478	190	287	16	16	54	20	146	0	0	129	0	21	72	140	7	0	0	118	101	0	56	3	28	2	6	14	4	1930	67	16	104	524	32	2	783	61	14	27	11	563	6	27	0	2	11	68	0	0	0	0	1074	3343	15	9	117	13	119	1712	2	59	210	106	5055	133	0	0	1925	20	11	87	1449	2841	328	311	276	4	0	213	43	6	10	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Anaerococcus	Anaerococcus Genus
Streptococcus salivarius	82	71	283	0	18	147	584	21	473	265	0	97	22	3	274	667	553	133	834	740	0	1749	624	0	96	0	0	0	1494	6	0	224	8	0	0	209	123	433	560	0	0	0	0	125	148	0	11549	737	3	582	0	0	0	0	0	60	30	0	20	0	0	0	0	0	0	14	0	7	0	340	0	6	88	0	268	1967	2920	74	437	7	35	210	433	0	0	0	0	3	0	19	0	0	37	495	0	0	933	81	103	54	9791	544	175	4849	85	1743	46	1233	3151	2291	10	0	6	724	0	0	47	218	166	25	12	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus salivarius
Alloprevotella Genus	9	0	2	10	7	9	654	50	144	2701	355	65	1	0	126	897	34	8	1515	292	0	1849	100	48	70	262	0	0	364	15	0	311	0	0	0	167	104	809	426	103	364	205	414	2	1519	88	1768	780	257	397	11	0	0	0	473	85	291	43	226	1564	436	958	107	4725	361	213	943	474	847	6	88	0	43	751	2	341	408	47	1634	90	116	1003	614	121	1477	409	1	0	0	486	1	5	555	772	82	4352	582	18	1580	3576	317	1104	1	1250	22	310	598	1727	20	229	1	11	900	78	556	124	314	83	262	948	78	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	Alloprevotella Genus
Anaerococcus nagyae	2345	2448	1	16	179	0	0	0	0	0	0	0	2	3595	0	0	76	1504	0	0	0	0	0	49	0	4	62	0	6	0	27	269	10	0	3470	5	0	10	0	50	26	11	0	0	3	2	0	0	0	3	0	0	0	262	0	0	0	0	35	0	0	0	0	1	0	0	0	0	22	0	1	0	0	0	551	0	5	580	0	0	0	0	0	0	0	0	0	0	0	0	8056	12094	0	14	3140	12	0	6723	0	1	1	0	2961	7	0	0	4488	0	0	20	829	457	101	7	63	0	1	88	0	0	0	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Anaerococcus	Anaerococcus nagyae
Neisseria flavescens/lactamica/meningitidis/mucosa/perflava/sicca/subflava	13	0	0	34	0	0	52	238	6	1073	43	0	0	0	14	30	0	0	6	226	3	309	166	11	72	328	0	2	0	0	0	42	0	0	12	90	113	619	195	40	19	28	0	0	173	614	358	13	61	70	0	0	0	4	501	226	204	3	370	61	413	101	1	234	1188	0	2217	569	31	15	425	0	37	1431	7	361	671	16	364	0	573	2635	2907	817	4696	0	0	0	0	90	9	10	70	2548	2	221	2880	3062	394	261	26	873	52	316	0	155	9	233	15	104	0	24	1849	118	2745	835	971	47	75	1064	312	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	Neisseria flavescens/lactamica/meningitidis/mucosa/perflava/sicca/subflava
Streptococcus salivarius/thermophilus	0	3	0	0	0	980	276	213	0	104	46	3	0	0	27	0	0	0	53	0	0	0	30	11	333	0	0	0	0	0	0	0	0	0	0	31	0	19	0	0	0	0	0	594	23	0	1096	46	0	5	0	0	0	22	0	111	0	93	1355	54	248	116	252	0	7	0	0	0	0	0	0	0	52	0	72	21	0	0	0	0	118	105	26	49	0	0	3	0	0	572	6	62	9264	99	9	0	74	0	86	55	0	123	0	0	0	2068	2	6	0	7	0	0	13	8932	17	0	1965	369	858	12621	551	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus salivarius/thermophilus
Granulicatella elegans	11	0	14	13	3	20	209	76	64	594	52	0	0	0	50	1042	15	15	184	501	781	365	269	0	77	471	2	0	0	0	0	101	0	0	7	176	214	427	359	0	340	180	506	34	491	969	374	1302	1	67	0	0	0	3	2759	670	1006	161	500	2675	665	1883	303	1300	471	103	836	254	238	4	47	0	13	581	56	104	218	17	1733	69	199	687	409	250	351	0	0	0	0	175	5	0	150	907	9	1961	711	15	974	1137	251	683	7	631	0	323	460	444	352	696	0	0	1598	163	1112	216	640	183	69	551	144	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	Granulicatella elegans
Granulicatella adiacens/para-adiacens	0	16	75	2	0	72	137	149	234	623	856	22	0	0	58	463	57	6	669	219	0	417	174	58	56	345	0	7	5	0	0	39	0	0	19	70	0	406	192	132	108	177	530	101	484	137	288	245	148	191	31	0	0	0	1243	528	372	76	706	702	881	1209	204	522	782	216	1273	192	476	10	226	0	25	735	44	817	323	47	137	35	1253	1495	2451	424	1556	0	0	0	0	2971	2	14	2748	908	31	451	2162	1094	581	1156	154	426	17	166	0	364	57	240	29	60	0	13	345	188	432	422	475	133	425	244	141	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	Granulicatella adiacens/para-adiacens
Veillonella atypica/dispar	9	51	217	17	0	33	105	120	244	2110	105	30	3	0	30	621	143	38	726	618	0	1190	156	35	11	341	0	0	326	1	0	154	3	0	17	75	115	371	172	77	200	383	2462	23	61	288	965	147	0	218	0	0	8	8	430	173	130	110	321	257	1152	253	40	627	249	155	3	14	427	12	15	0	2	12	49	1179	1411	10	240	8	605	1810	2400	230	871	0	0	0	546	447	0	0	213	190	35	815	402	643	411	2023	1464	413	15	1057	0	272	16	615	15	90	0	8	113	198	280	223	326	137	95	245	110	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella	Veillonella atypica/dispar
Anaerococcus senegalensis	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	9	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	0	0	37	7	0	0	0	2	7	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	156	0	3	0	3	3663	0	10	38	383	5	0	0	0	12	2267	0	13031	0	0	0	0	0	0	0	0	0	0	511	669	0	1	6754	0	0	0	0	0	9	0	6790	22	0	0	5	17	0	12	35	7	0	0	0	6	3	0	0	0	0	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Anaerococcus	Anaerococcus senegalensis
Streptococcus australis/mitis/oralis/parasanguinis/pneumoniae/rubneri/sanguinis	131	30	364	12	0	59	198	125	46	817	347	6	0	0	25	24	540	16	232	844	78	24	51	188	4	631	5	0	0	1	0	18	0	0	37	80	77	89	99	320	11	85	14	93	136	122	274	114	103	102	36	2	0	3	334	198	108	96	596	401	683	810	164	1676	586	20	452	125	49	2	30	0	20	306	72	938	0	0	251	33	647	1986	3739	511	1270	0	0	0	0	3	5	0	47	1908	25	354	1020	314	1930	1144	802	466	53	539	0	114	4	4	36	137	0	0	139	297	211	92	333	336	45	157	87	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus australis/mitis/oralis/parasanguinis/pneumoniae/rubneri/sanguinis
Finegoldia magna	1896	207	0	39	6	0	0	22	0	8	2	0	0	29	0	22	5	0	1	2	13	17	0	127	3	0	461	0	0	0	24	31	1	0	2799	0	20	40	5	0	19	82	6	0	0	0	9	3	0	62	0	3	6	326	0	0	0	0	0	10	2	0	72	0	0	39	0	1435	57	10	8	5221	42	1	0	55	44	3463	16	55	7	0	0	0	0	0	0	0	0	0	5556	1643	0	4	944	10	0	0	12	54	97	22	0	34	0	46	5	33	28	66	6190	3	122	71	130	10	0	63	10	7	0	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Finegoldia	Finegoldia magna
Veillonella massiliensis	0	0	27	0	0	29	195	9	74	1088	183	0	0	0	14	614	57	58	34	313	0	566	57	0	41	233	0	0	3137	0	0	201	0	0	0	104	195	357	141	0	531	220	535	29	294	215	688	888	87	89	25	0	2	4	670	57	280	72	112	94	145	84	19	776	155	252	223	123	1306	1	7	0	6	310	130	377	265	0	1560	76	180	695	389	63	329	0	0	0	0	1423	0	0	667	56	68	2467	35	26	261	1666	242	142	8	485	0	217	268	908	8	31	0	20	376	114	260	75	27	111	50	67	29	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella	Veillonella massiliensis
Neisseria flava/lactamica/macacae/meningitidis/mucosa/perflava/sicca	0	0	0	0	0	6	376	528	30	1816	0	6	0	1	13	87	0	34	19	2370	0	12	1086	8	88	6	0	32	6	0	0	28	0	0	0	103	300	556	505	0	344	289	1414	14	870	526	152	13	0	170	1	0	4	0	681	103	110	0	0	76	0	112	54	0	405	25	3487	248	1266	24	11	0	0	791	63	1081	0	0	24	11	214	714	709	126	720	0	0	0	0	0	0	0	3	538	17	275	161	21	72	421	34	197	20	291	14	855	0	68	16	201	0	0	0	62	0	12	2	57	3649	12	7	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	Neisseria flava/lactamica/macacae/meningitidis/mucosa/perflava/sicca
Leptotrichia Genus	0	0	1	9	0	48	56	88	19	306	246	1	0	0	25	904	0	0	142	302	0	423	3	0	11	30	0	0	12	0	0	70	2	0	0	153	113	293	194	0	52	35	462	82	123	65	192	38	180	110	0	0	0	0	1542	216	312	30	109	618	107	471	131	4275	76	18	1103	551	31	8	66	0	12	1036	78	696	0	3	41	0	113	187	231	74	414	0	0	0	0	39	0	4	61	1308	35	2045	252	112	2675	2137	47	311	0	79	0	157	129	10	23	217	0	0	103	208	164	64	80	233	685	206	49	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	Leptotrichia Genus
Prevotella_7 melaninogenica	0	0	0	0	0	9	65	62	141	795	107	2	4	0	26	575	6	0	339	343	0	444	11	33	26	120	0	31	2	43	0	44	14	0	6	22	62	268	365	89	31	24	238	15	199	229	350	76	0	31	0	0	0	0	119	71	89	121	481	163	2240	90	0	126	111	29	60	46	182	0	47	0	5	188	0	390	3001	17	51	11	698	3275	4204	144	278	0	0	0	0	84	0	0	82	30	43	652	278	57	75	1376	27	209	0	28	0	107	0	923	34	243	3	1	164	92	193	121	44	106	374	103	31	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_7	Prevotella_7 melaninogenica
Staphylococcus Genus	0	148	0	106	593	2	2	0	0	36	0	0	0	0	0	27	6	0	7	0	0	10	0	642	7	2976	0	80	0	5	0	13	1079	1174	0	0	33	6	66	758	0	4	0	0	32	0	533	0	8	12	411	0	0	0	94	0	0	2642	13	0	84	0	5059	6	0	0	0	91	13	52	1039	0	10	0	1539	39	0	0	0	0	0	5	3	0	0	0	0	0	0	0	0	0	0	2	1333	0	0	0	0	0	12	0	0	14	341	1	2820	0	0	20	0	996	23	3	10	0	4	16	0	0	0	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus Genus
Haemophilus parainfluenzae	0	0	0	9	0	21	45	83	0	20	161	12	0	0	21	57	45	0	6	76	0	248	84	31	64	380	0	2	0	0	0	48	0	0	6	15	26	175	170	96	91	100	79	23	267	299	119	26	228	112	0	0	0	0	73	0	104	7	165	991	474	1224	143	344	102	24	1742	760	223	174	376	0	147	2558	0	167	51	4	1583	16	513	2046	2099	67	944	0	0	0	0	510	0	6	503	267	5	144	77	122	230	384	102	236	2	172	0	79	18	88	11	48	0	0	240	56	353	129	57	135	409	83	5	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Haemophilus	Haemophilus parainfluenzae
Lactobacillus delbrueckii/equicursoris	0	0	0	7	0	7738	449	74	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14104	33	0	0	0	0	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	2	0	5	0	0	0	1885	0	0	0	0	0	0	0	0	0	1	9	0	0	197	5	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus delbrueckii/equicursoris
Bergeyella Genus	0	0	0	0	0	3	99	62	34	801	34	0	0	0	36	0	11	12	85	2	386	122	203	15	11	988	0	17	65	0	1	23	0	0	7	246	0	259	211	0	24	6	24	14	41	901	453	129	0	7	0	0	0	0	718	87	90	0	0	2875	151	2267	435	66	94	31	111	24	120	6	23	0	1	61	67	386	0	0	185	85	0	183	71	87	59	0	0	0	0	110	5	1	240	1208	2	354	392	4	76	273	503	993	3	755	0	184	9	28	1000	1529	3	0	1246	34	513	0	198	13	213	348	54	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Bergeyella	Bergeyella Genus
Staphylococcaceae Family	0	0	0	160	145	1	30	3	5	0	49	18289	0	0	38	0	0	3	2	26	9	13	0	3	6	4	0	0	2	15	0	25	0	0	0	10	0	26	19	0	25	23	0	6	0	0	0	33	41	4259	0	3	0	3	0	0	0	0	0	0	0	5	0	0	0	0	0	2	1	0	0	0	2	0	0	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	3	0	0	0	0	0	0	0	0	4	0	6	0	0	18	0	0	0	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae		Staphylococcaceae Family
Rothia Genus	16	11	278	0	7	0	185	51	42	0	21	0	0	0	35	32	216	10	89	0	0	359	62	2	4	10	0	4	63	0	0	38	0	0	0	37	0	94	21	0	160	235	981	0	293	61	0	72	0	25	0	0	0	0	0	0	0	0	0	0	3	14	0	305	313	42	0	0	135	1810	28	0	631	22	35	558	3064	0	67	0	96	241	1484	610	13	0	0	0	0	1574	5	0	1246	616	2	23	103	31	339	106	727	85	21	707	0	2	1	918	2723	327	0	0	5	112	10	47	132	99	35	151	56	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	Rothia Genus
Porphyromonas pasteri	0	0	0	20	0	0	120	199	0	1082	498	13	0	0	16	104	0	0	20	30	0	27	47	0	36	14	0	0	8	0	0	0	0	0	0	38	0	188	40	0	22	10	0	0	190	379	530	0	27	43	0	0	0	0	479	160	212	87	222	1466	708	1343	144	791	131	10	1608	477	0	2	128	0	13	1609	0	136	0	0	48	35	132	590	454	54	386	0	0	0	0	2928	0	20	1258	284	0	130	60	7	335	190	27	45	1	215	0	71	0	18	7	97	0	0	307	120	212	92	118	118	607	162	77	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas pasteri
