	geneNAME	S1	S28	S6
K00077	panE, apbA; 2-dehydropantoate 2-reductase [EC:1.1.1.169]	571.865	1031.22	333.785
K00082	ribD2; 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193]	1.79691	0	0
K00086	dhaT; 1,3-propanediol dehydrogenase [EC:1.1.1.202]	248.422	0	7.3629
K00087	ygeS, xdhA; xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]	101.525	0	59.3941
K00088	IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]	587.588	900.297	939.506
K00090	ghrB; glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]	63.341	25.6873	7.85376
K00091	E1.1.1.219; dihydroflavonol-4-reductase [EC:1.1.1.219]	65.5871	36.8737	13.2532
K00094	E1.1.1.251, gatD; galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251]	1.79691	0	0
K00096	araM, egsA; glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]	59.2979	73.7473	14.7258
K00097	pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]	511.22	46.4028	221.378
K00098	idnD; L-idonate 5-dehydrogenase [EC:1.1.1.264]	62.8917	200.941	26.5064
K00099	dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]	493.251	191.412	373.545
K00100	bdhAB; butanol dehydrogenase [EC:1.1.1.-]	45.8211	0	3.43602
K00101	lldD; L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]	389.929	165.724	295.498
K00102	LDHD, dld; D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]	618.585	88.6625	12.2715
K00103	GULO; L-gulonolactone oxidase [EC:1.1.3.8]	0	36.4593	0
K00104	glcD; glycolate dehydrogenase FAD-linked subunit [EC:1.1.99.14]	817.592	308.247	74.1199
K00105	E1.1.3.21; alpha-glycerophosphate oxidase [EC:1.1.3.21]	0	502.559	448.646
K00108	betA, CHDH; choline dehydrogenase [EC:1.1.99.1]	494.149	567.606	6.87204
K00109	L2HGDH; 2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]	1.79691	0	0
K00111	glpA, glpD; glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]	475.731	751.974	725.491
K00112	glpB; glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]	0	36.045	138.913
K00113	glpC; glycerol-3-phosphate dehydrogenase subunit C	0	70.8471	130.078
K00116	mqo; malate dehydrogenase (quinone) [EC:1.1.5.4]	0	840.637	316.605
K00117	gcd; quinoprotein glucose dehydrogenase [EC:1.1.5.2]	331.978	61.318	9.8172
K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	393.523	242.372	269.973
K00122	FDH; formate dehydrogenase [EC:1.17.1.9]	45.3719	150.395	0
K00123	fdoG, fdhF, fdwA; formate dehydrogenase major subunit [EC:1.17.1.9]	1305.9	528.661	263.592
K00124	fdoH, fdsB; formate dehydrogenase iron-sulfur subunit	274.477	42.674	98.6629
K00126	fdsD; formate dehydrogenase subunit delta [EC:1.17.1.9]	66.4855	0	0
K00127	fdoI, fdsG; formate dehydrogenase subunit gamma	234.047	0	151.185
K00128	ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	1172.93	1598	266.046
K00130	betB, gbsA; betaine-aldehyde dehydrogenase [EC:1.2.1.8]	620.831	488.472	19.1435
K00131	gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]	57.9502	132.994	58.4124
K00132	E1.2.1.10; acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]	130.725	118.079	0
K00133	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	473.485	526.589	754.943
K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]	498.642	933.857	971.903
K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]	999.978	764.403	475.153
K00138	aldB; aldehyde dehydrogenase [EC:1.2.1.-]	180.589	150.395	6.38118
K00140	mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]	612.296	197.212	31.4151
K00141	xylC; benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28]	66.0363	0	0
K00145	argC; N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]	483.817	339.321	411.832
K00146	feaB, tynC; phenylacetaldehyde dehydrogenase [EC:1.2.1.39]	73.2239	165.31	0
K00147	proA; glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]	399.812	344.707	665.606
K00148	fdhA; glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]	15.7229	42.674	0
K00149	ALDH9A1; aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3]	1.79691	0	0
K00150	gap2, gapB; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) [EC:1.2.1.59]	0	34.3878	0
K00151	hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]	67.384	48.0601	29.4516
K00153	E1.1.1.306; S-(hydroxymethyl)mycothiol dehydrogenase [EC:1.1.1.306]	0	136.723	2.4543
K00154	E1.2.1.68; coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]	0	66.2897	0
K00156	poxB; pyruvate dehydrogenase (quinone) [EC:1.2.5.1]	129.826	113.107	18.6527
K00158	spxB, poxL; pyruvate oxidase [EC:1.2.3.3]	45.8211	655.44	315.132
K00161	PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]	116.799	587.907	409.377
K00162	PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]	62.4425	462.371	424.103
K00163	aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]	527.392	346.778	532.583
K00164	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]	489.208	967.83	589.032
K00166	BCKDHA, bkdA1; 2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:1.2.4.4]	50.3134	360.865	0
K00167	BCKDHB, bkdA2; 2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4]	27.4028	227.457	0
K00169	porA; pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]	111.408	201.355	0
K00170	porB; pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]	100.627	0	0
K00171	porD; pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]	77.7162	0	0
K00172	porC, porG; pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]	104.67	0	0
K00174	korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]	297.388	672.841	143.822
K00175	korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]	244.829	403.124	115.352
K00176	korD, oorD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]	82.6577	33.5592	39.7597
K00177	korC, oorC; 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]	154.983	38.5309	67.2478
K00179	iorA; indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]	406.101	198.041	64.7935
K00180	iorB; indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]	228.207	64.2182	26.5064
K00184	dmsB; dimethyl sulfoxide reductase iron-sulfur subunit	6.28917	0	33.8694
K00185	dmsC; dimethyl sulfoxide reductase membrane subunit	7.18763	0	11.7806
K00186	vorA; 2-oxoisovalerate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.7]	4.94149	0	0
K00189	vorG, porG; 2-oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.7 1.2.7.1]	8.53531	0	0
K00194	cdhD, acsD; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta [EC:2.1.1.245]	108.713	0	0
K00196	cooF; anaerobic carbon-monoxide dehydrogenase iron sulfur subunit	72.3255	0	6.38118
K00197	cdhE, acsC; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma [EC:2.1.1.245]	110.061	0	2.4543
K00198	cooS, acsA; anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]	510.321	0	59.3941
K00208	fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]	460.008	425.083	333.294
K00209	fabV, ter; enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]	19.3167	0	194.381
K00215	dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]	435.75	374.123	537.001
K00216	entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]	32.3443	0	0
K00217	E1.3.1.32; maleylacetate reductase [EC:1.3.1.32]	158.128	33.5592	0
K00219	fadH; 2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]	692.707	278.417	37.7962
K00220	tyrC; cyclohexadieny/prephenate dehydrogenase [EC:1.3.1.43 1.3.1.12]	0	84.5194	12.2715
K00221	E4.99.1.2; alkylmercury lyase [EC:4.99.1.2]	0	55.5176	0
K00226	pyrD; dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1]	167.562	716.758	833.481
K00228	CPOX, hemF; coproporphyrinogen III oxidase [EC:1.3.3.3]	130.276	24.4443	21.5978
K00230	hemG; menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3]	28.3013	14.5009	51.0495
K00231	PPOX, hemY; protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]	33.692	439.998	259.174
K00232	E1.3.3.6, ACOX1, ACOX3; acyl-CoA oxidase [EC:1.3.3.6]	0	103.992	5.39946
K00234	SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]	2.69536	0	0
K00239	sdhA, frdA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]	694.055	731.259	440.302
K00240	sdhB, frdB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]	203.05	366.251	154.621
K00241	sdhC, frdC; succinate dehydrogenase cytochrome b subunit	134.768	328.548	102.099
K00242	sdhD, frdD; succinate dehydrogenase membrane anchor subunit	84.4546	52.2032	57.4306
K00243	K00243; uncharacterized protein	212.484	397.738	403.487
K00244	frdA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]	533.681	157.024	603.758
K00245	frdB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]	44.9227	0	77.065
K00246	frdC; succinate dehydrogenase subunit C	25.1567	0	103.571
K00247	frdD; succinate dehydrogenase subunit D	29.1997	0	46.6317
K00248	ACADS, bcd; butyryl-CoA dehydrogenase [EC:1.3.8.1]	359.831	188.511	117.316
K00249	ACADM, acd; acyl-CoA dehydrogenase [EC:1.3.8.7]	1720.09	878.753	49.5769
K00252	GCDH, gcdH; glutaryl-CoA dehydrogenase [EC:1.3.8.6]	221.918	458.642	26.5064
K00253	IVD, ivd; isovaleryl-CoA dehydrogenase [EC:1.3.8.4]	203.5	43.0883	107.989
K00254	DHODH, pyrD; dihydroorotate dehydrogenase [EC:1.3.5.2]	228.207	529.489	593.941
K00255	ACADL; long-chain-acyl-CoA dehydrogenase [EC:1.3.8.8]	0	84.9337	0
K00257	mbtN, fadE14; acyl-ACP dehydrogenase [EC:1.3.99.-]	0	53.4461	0
K00259	ald; alanine dehydrogenase [EC:1.4.1.1]	63.7902	708.471	240.521
K00260	gudB, rocG; glutamate dehydrogenase [EC:1.4.1.2]	331.978	366.251	192.908
K00261	GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]	435.75	227.457	43.6866
K00262	E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]	637.453	439.584	772.614
K00263	E1.4.1.9; leucine dehydrogenase [EC:1.4.1.9]	1.79691	77.4761	0
K00264	GLT1; glutamate synthase (NADH) [EC:1.4.1.14]	27.4028	4.55742	0
K00265	gltB; glutamate synthase (NADPH) large chain [EC:1.4.1.13]	1352.17	1358.11	174.746
K00266	gltD; glutamate synthase (NADPH) small chain [EC:1.4.1.13]	977.966	615.252	185.054
K00271	vdh; valine dehydrogenase (NAD+) [EC:1.4.1.23]	0	30.2447	0
K00274	MAO, aofH; monoamine oxidase [EC:1.4.3.4]	227.309	226.214	9.32634
K00275	pdxH, PNPO; pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]	125.334	109.792	214.506
K00276	AOC3, AOC2, tynA; primary-amine oxidase [EC:1.4.3.21]	2.24613	0	0
K00278	nadB; L-aspartate oxidase [EC:1.4.3.16]	377.35	517.06	287.644
K00281	GLDC, gcvP; glycine dehydrogenase [EC:1.4.4.2]	643.293	336.835	515.894
K00282	gcvPA; glycine dehydrogenase subunit 1 [EC:1.4.4.2]	95.236	282.974	156.584
K00283	gcvPB; glycine dehydrogenase subunit 2 [EC:1.4.4.2]	267.739	558.491	436.375
K00284	GLU, gltS; glutamate synthase (ferredoxin) [EC:1.4.7.1]	1323.87	1447.19	31.9059
K00285	dadA; D-amino-acid dehydrogenase [EC:1.4.5.1]	1005.82	173.182	548.291
K00286	proC; pyrroline-5-carboxylate reductase [EC:1.5.1.2]	393.972	466.514	563.017
K00287	DHFR, folA; dihydrofolate reductase [EC:1.5.1.3]	114.104	432.54	465.335
K00290	LYS1; saccharopine dehydrogenase (NAD+, L-lysine forming) [EC:1.5.1.7]	246.176	104.406	193.89
K00293	LYS9; saccharopine dehydrogenase (NADP+, L-glutamate forming) [EC:1.5.1.10]	0	0	20.1253
K00294	E1.2.1.88; 1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88]	777.611	578.792	125.169
K00297	metF, MTHFR; methylenetetrahydrofolate reductase (NADH) [EC:1.5.1.54]	448.777	494.273	485.461
K00298	ceo; N5-(carboxyethyl)ornithine synthase [EC:1.5.1.24]	4.94149	0	69.7021
K00299	ssuE, msuE; FMN reductase [EC:1.5.1.38]	69.6301	349.678	37.7962
K00302	soxA; sarcosine oxidase, subunit alpha [EC:1.5.3.24 1.5.3.1]	172.054	0	0
K00303	soxB; sarcosine oxidase, subunit beta [EC:1.5.3.24 1.5.3.1]	115.451	0	0
K00304	soxD; sarcosine oxidase, subunit delta [EC:1.5.3.24 1.5.3.1]	34.5904	0	0
K00305	soxG; sarcosine oxidase, subunit gamma [EC:1.5.3.24 1.5.3.1]	43.575	0	0
K00311	ETFDH; electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]	279.419	37.7023	192.908
K00313	fixC; electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]	9.88299	28.5874	0
K00316	spdH; spermidine dehydrogenase [EC:1.5.99.6]	0	0	40.7414
K00317	dmd-tmd; dimethylamine/trimethylamine dehydrogenase [EC:1.5.8.1 1.5.8.2]	38.6335	53.4461	0
K00318	PRODH, fadM, putB; proline dehydrogenase [EC:1.5.5.2]	6.7384	385.309	13.2532
K00320	mer; 5,10-methylenetetrahydromethanopterin reductase [EC:1.5.98.2]	0	66.2897	0
K00322	sthA, udhA; NAD(P) transhydrogenase [EC:1.6.1.1]	4.04304	55.932	4.41774
K00323	NNT; H+-translocating NAD(P) transhydrogenase [EC:1.6.1.2 7.1.1.1]	0	0	6.87204
K00324	pntA; H+-translocating NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2 7.1.1.1]	357.135	199.698	481.534
K00325	pntB; H+-translocating NAD(P) transhydrogenase subunit beta [EC:1.6.1.2 7.1.1.1]	353.991	165.31	461.409
K00330	nuoA; NADH-quinone oxidoreductase subunit A [EC:7.1.1.2]	119.045	59.6608	15.2167
K00331	nuoB; NADH-quinone oxidoreductase subunit B [EC:7.1.1.2]	181.937	58.0035	53.0129
K00332	nuoC; NADH-quinone oxidoreductase subunit C [EC:7.1.1.2]	143.753	31.9019	50.5586
K00333	nuoD; NADH-quinone oxidoreductase subunit D [EC:7.1.1.2]	322.545	115.593	138.423
K00334	nuoE; NADH-quinone oxidoreductase subunit E [EC:7.1.1.2]	276.724	61.318	100.626
K00335	nuoF; NADH-quinone oxidoreductase subunit F [EC:7.1.1.2]	825.679	134.237	168.365
K00336	nuoG; NADH-quinone oxidoreductase subunit G [EC:7.1.1.2]	615.89	239.057	322.986
K00337	nuoH; NADH-quinone oxidoreductase subunit H [EC:7.1.1.2]	232.699	91.1484	156.094
K00338	nuoI; NADH-quinone oxidoreductase subunit I [EC:7.1.1.2]	198.558	63.8039	132.532
K00339	nuoJ; NADH-quinone oxidoreductase subunit J [EC:7.1.1.2]	173.851	57.1749	113.88
K00340	nuoK; NADH-quinone oxidoreductase subunit K [EC:7.1.1.2]	97.0329	27.7588	45.65
K00341	nuoL; NADH-quinone oxidoreductase subunit L [EC:7.1.1.2]	395.319	832.765	320.041
K00342	nuoM; NADH-quinone oxidoreductase subunit M [EC:7.1.1.2]	372.409	183.54	214.997
K00343	nuoN; NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]	380.046	166.967	150.694
K00344	qor, CRYZ; NADPH:quinone reductase [EC:1.6.5.5]	928.102	958.715	33.8694
K00346	nqrA; Na+-transporting NADH:ubiquinone oxidoreductase subunit A [EC:7.2.1.1]	95.236	34.3878	316.605
K00347	nqrB; Na+-transporting NADH:ubiquinone oxidoreductase subunit B [EC:7.2.1.1]	48.5165	22.3728	301.388
K00348	nqrC; Na+-transporting NADH:ubiquinone oxidoreductase subunit C [EC:7.2.1.1]	33.692	19.0583	151.185
K00349	nqrD; Na+-transporting NADH:ubiquinone oxidoreductase subunit D [EC:7.2.1.1]	44.4734	24.03	174.255
K00350	nqrE; Na+-transporting NADH:ubiquinone oxidoreductase subunit E [EC:7.2.1.1]	59.2979	19.4726	172.292
K00351	nqrF; Na+-transporting NADH:ubiquinone oxidoreductase subunit F [EC:7.2.1.1]	75.4701	33.9735	428.03
K00354	E1.6.99.1; NADPH2 dehydrogenase [EC:1.6.99.1]	48.5165	0	0
K00355	NQO1; NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]	57.501	42.2597	247.394
K00360	nasB; assimilatory nitrate reductase electron transfer subunit [EC:1.7.99.-]	0	41.8454	0
K00362	nirB; nitrite reductase (NADH) large subunit [EC:1.7.1.15]	430.359	557.662	4.9086
K00363	nirD; nitrite reductase (NADH) small subunit [EC:1.7.1.15]	90.2945	125.536	0
K00364	guaC, GMPR; GMP reductase [EC:1.7.1.7]	1.79691	270.131	420.667
K00366	nirA; ferredoxin-nitrite reductase [EC:1.7.7.1]	109.162	174.425	35.3419
K00367	narB; ferredoxin-nitrate reductase [EC:1.7.7.2]	0	0	4.41774
K00368	nirK; nitrite reductase (NO-forming) [EC:1.7.2.1]	0	85.7623	120.261
K00370	narG, narZ, nxrA; nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]	384.089	517.888	40.2505
K00371	narH, narY, nxrB; nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	192.269	277.174	5.89032
K00372	nasC, nasA; assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-]	209.789	139.623	30.4333
K00373	narJ, narW; nitrate reductase molybdenum cofactor assembly chaperone NarJ/NarW	65.1379	207.57	11.2898
K00374	narI, narV; nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]	72.7747	205.498	11.7806
K00375	K00375; GntR family transcriptional regulator / MocR family aminotransferase	1377.33	457.399	249.357
K00376	nosZ; nitrous-oxide reductase [EC:1.7.2.4]	35.4889	0	10.3081
K00380	cysJ; sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2]	483.368	431.298	145.785
K00381	cysI; sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2]	368.366	112.693	216.96
K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]	1303.66	1284.36	1529.03
K00383	GSR, gor; glutathione reductase (NADPH) [EC:1.8.1.7]	322.095	319.434	636.646
K00384	trxB, TRR; thioredoxin reductase (NADPH) [EC:1.8.1.9]	682.824	943.386	877.167
K00385	asrC; anaerobic sulfite reductase subunit C	133.87	0	18.1618
K00387	SUOX; sulfite oxidase [EC:1.8.3.1]	0	60.9037	0
K00389	yidH; putative membrane protein	14.8245	31.4876	0
K00390	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]	228.207	199.283	87.3731
K00392	sir; sulfite reductase (ferredoxin) [EC:1.8.7.1]	480.223	239.472	37.3054
K00394	aprA; adenylylsulfate reductase, subunit A [EC:1.8.99.2]	98.8299	0	5.89032
K00395	aprB; adenylylsulfate reductase, subunit B [EC:1.8.99.2]	16.1722	0	0
K00400	K00400; methyl coenzyme M reductase system, component A2	0	12.015	0
K00404	ccoN; cytochrome c oxidase cbb3-type subunit I [EC:7.1.1.9]	316.256	0	192.417
K00405	ccoO; cytochrome c oxidase cbb3-type subunit II	182.386	0	127.624
K00406	ccoP; cytochrome c oxidase cbb3-type subunit III	176.546	0	70.193
K00407	ccoQ; cytochrome c oxidase cbb3-type subunit IV	12.5783	0	7.3629
