Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Collection_Date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Host	Instrument	isolate	isolation_source	lat_lon	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	create_date	version	Sample Name	SRA Study
SRR12823325	AMPLICON	602	37438982	PRJNA669115	SAMN16434731	Metagenome or environmental	24159924	NORTHWESTERN UNIVERSITY	2019	public	"sra,run.zq,fastq"	"s3,gs,ncbi"	"s3.us-east-1,gs.US,ncbi.public"	SRX9291068	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	173	skin	41.85 N 87.65 W	25-USA-AP-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:04:00Z	1	Amato-314-HSAP-USA-19-MM-25-AP-DRY-F	SRP287343
SRR12823326	AMPLICON	602	37124738	PRJNA669115	SAMN16434657	Metagenome or environmental	24428633	NORTHWESTERN UNIVERSITY	2019	public	"sra,run.zq,fastq"	"s3,gs,ncbi"	"gs.US,ncbi.public,s3.us-east-1"	SRX9291067	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	99	skin	41.85 N 87.65 W	18-USA-FH-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:04:00Z	1	Amato-313-HSAP-USA-19-MM-18-FH-DRY-F	SRP287343
SRR12823327	AMPLICON	602	28859880	PRJNA669115	SAMN16434721	Metagenome or environmental	18938494	NORTHWESTERN UNIVERSITY	2019	public	"run.zq,fastq,sra"	"s3,gs,ncbi"	"gs.US,s3.us-east-1,ncbi.public"	SRX9291066	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	163	skin	41.85 N 87.65 W	23-USA-FH-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:04:00Z	1	Amato-312-HSAP-USA-19-MM-23-FH-DRY-F	SRP287343
SRR12823328	AMPLICON	602	11943078	PRJNA669115	SAMN16434753	Metagenome or environmental	7905813	NORTHWESTERN UNIVERSITY	2019	public	"sra,fastq,run.zq"	"s3,gs,ncbi"	"ncbi.public,s3.us-east-1,gs.US"	SRX9291065	Mexico	North America	Mexico: Veracruz	Homo sapiens	Illumina MiSeq	195	skin	19.18 N 96.14 W	4-MEX-HA-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:04:00Z	1	Amato-189-HSAP-MEX-19-MM-4-HA-DRY-F	SRP287343
SRR12823329	AMPLICON	602	28266308	PRJNA669115	SAMN16434777	Metagenome or environmental	18530555	NORTHWESTERN UNIVERSITY	2019	public	"sra,fastq,run.zq"	"ncbi,s3,gs"	"s3.us-east-1,ncbi.public,gs.US"	SRX9291064	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	219	skin	41.85 N 87.65 W	6-USA-HA-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:04:00Z	1	Amato-311-HSAP-USA-19-MM-6-HA-DRY-F	SRP287343
SRR12823330	AMPLICON	602	29460074	PRJNA669115	SAMN16434811	Metagenome or environmental	19359750	NORTHWESTERN UNIVERSITY	2019	public	"run.zq,fastq,sra"	"s3,ncbi,gs"	"ncbi.public,gs.US,s3.us-east-1"	SRX9291063	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	253	skin	41.85 N 87.65 W	9-USA-HA-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:04:00Z	1	Amato-310-HSAP-USA-19-MM-9-HA-DRY-F	SRP287343
SRR12823331	AMPLICON	602	47620006	PRJNA669115	SAMN16434807	Metagenome or environmental	33591739	NORTHWESTERN UNIVERSITY	2019	public	"fastq,run.zq,sra"	"s3,gs,ncbi"	"s3.us-east-1,gs.US,ncbi.public"	SRX9291062	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	249	skin	41.85 N 87.65 W	9-USA-AP-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:04:00Z	1	Amato-309-HSAP-USA-19-MM-9-AP-DRY-F	SRP287343
SRR12823332	AMPLICON	602	36404144	PRJNA669115	SAMN16434775	Metagenome or environmental	23863882	NORTHWESTERN UNIVERSITY	2019	public	"fastq,run.zq,sra"	"s3,ncbi,gs"	"gs.US,ncbi.public,s3.us-east-1"	SRX9291061	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	217	skin	41.85 N 87.65 W	6-USA-FH-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:04:00Z	1	Amato-308-HSAP-USA-19-MM-6-FH-DRY-F	SRP287343
SRR12823333	AMPLICON	602	37601522	PRJNA669115	SAMN16434621	Metagenome or environmental	24574156	NORTHWESTERN UNIVERSITY	2019	public	"run.zq,fastq,sra"	"gs,ncbi,s3"	"s3.us-east-1,ncbi.public,gs.US"	SRX9291060	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	63	skin	41.85 N 87.65 W	14-USA-HA-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:04:00Z	1	Amato-307-HSAP-USA-19-MM-14-HA-DRY-F	SRP287343
SRR12823334	AMPLICON	602	39129398	PRJNA669115	SAMN16434669	Metagenome or environmental	25515123	NORTHWESTERN UNIVERSITY	2019	public	"sra,run.zq,fastq"	"s3,ncbi,gs"	"ncbi.public,s3.us-east-1,gs.US"	SRX9291059	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	111	skin	41.85 N 87.65 W	19-USA-FH-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:04:00Z	1	Amato-306-HSAP-USA-19-MM-19-FH-DRY-F	SRP287343
SRR12823335	AMPLICON	602	40344836	PRJNA669115	SAMN16434617	Metagenome or environmental	26977710	NORTHWESTERN UNIVERSITY	2019	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"ncbi.public,s3.us-east-1,gs.US"	SRX9291058	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	59	skin	41.85 N 87.65 W	14-USA-AP-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:04:00Z	1	Amato-305-HSAP-USA-19-MM-14-AP-DRY-F	SRP287343
SRR12823336	AMPLICON	602	29345092	PRJNA669115	SAMN16434619	Metagenome or environmental	19308432	NORTHWESTERN UNIVERSITY	2019	public	"sra,fastq,run.zq"	"ncbi,gs,s3"	"ncbi.public,gs.US,s3.us-east-1"	SRX9291057	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	61	skin	41.85 N 87.65 W	14-USA-FH-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:04:00Z	1	Amato-304-HSAP-USA-19-MM-14-FH-DRY-F	SRP287343
SRR12823337	AMPLICON	602	28142898	PRJNA669115	SAMN16434809	Metagenome or environmental	18595070	NORTHWESTERN UNIVERSITY	2019	public	"run.zq,sra,fastq"	"ncbi,s3,gs"	"ncbi.public,gs.US,s3.us-east-1"	SRX9291056	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	251	skin	41.85 N 87.65 W	9-USA-FH-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:04:00Z	1	Amato-303-HSAP-USA-19-MM-9-FH-DRY-F	SRP287343
SRR12823338	AMPLICON	602	29218672	PRJNA669115	SAMN16434679	Metagenome or environmental	18898106	NORTHWESTERN UNIVERSITY	2019	public	"run.zq,sra,fastq"	"ncbi,gs,s3"	"s3.us-east-1,ncbi.public,gs.US"	SRX9291055	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	121	skin	41.85 N 87.65 W	2-USA-AP-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:05:00Z	1	Amato-300-HSAP-USA-19-MM-2-AP-DRY-F	SRP287343
SRR12823339	AMPLICON	602	53578	PRJNA669115	SAMN16434739	Metagenome or environmental	119388	NORTHWESTERN UNIVERSITY	2019	public	"sra,run.zq,fastq"	"s3,ncbi,gs"	"ncbi.public,gs.US,s3.us-east-1"	SRX9291054	Mexico	North America	Mexico: Veracruz	Homo sapiens	Illumina MiSeq	181	skin	19.18 N 96.14 W	3-MEX-FH-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:04:00Z	1	Amato-188-HSAP-MEX-19-MM-3-FH-DRY-F	SRP287343
SRR12823340	AMPLICON	602	33019098	PRJNA669115	SAMN16434681	Metagenome or environmental	21968590	NORTHWESTERN UNIVERSITY	2019	public	"sra,run.zq,fastq"	"gs,s3,ncbi"	"s3.us-east-1,ncbi.public,gs.US"	SRX9291053	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	123	skin	41.85 N 87.65 W	2-USA-FH-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:05:00Z	1	Amato-299-HSAP-USA-19-MM-2-FH-DRY-F	SRP287343
SRR12823341	AMPLICON	602	48990158	PRJNA669115	SAMN16434769	Metagenome or environmental	32319398	NORTHWESTERN UNIVERSITY	2019	public	"sra,fastq,run.zq"	"ncbi,gs,s3"	"s3.us-east-1,ncbi.public,gs.US"	SRX9291052	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	211	skin	41.85 N 87.65 W	5-USA-HA-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:05:00Z	1	Amato-298-HSAP-USA-19-MM-5-HA-DRY-F	SRP287343
SRR12823342	AMPLICON	602	35436730	PRJNA669115	SAMN16434765	Metagenome or environmental	23661540	NORTHWESTERN UNIVERSITY	2019	public	"fastq,run.zq,sra"	"ncbi,s3,gs"	"ncbi.public,gs.US,s3.us-east-1"	SRX9290980	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	207	skin	41.85 N 87.65 W	5-USA-AP-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:05:00Z	1	Amato-297-HSAP-USA-19-MM-5-AP-DRY-F	SRP287343
SRR12823343	AMPLICON	602	25778844	PRJNA669115	SAMN16434611	Metagenome or environmental	16842049	NORTHWESTERN UNIVERSITY	2019	public	"run.zq,sra,fastq"	"s3,gs,ncbi"	"ncbi.public,s3.us-east-1,gs.US"	SRX9291051	Mexico	North America	Mexico: Veracruz	Homo sapiens	Illumina MiSeq	53	skin	19.18 N 96.14 W	14-MEX-AP-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:05:00Z	1	Amato-263-HSAP-MEX-19-MM-14-AP-DRY-F	SRP287343
SRR12823344	AMPLICON	602	27462036	PRJNA669115	SAMN16434581	Metagenome or environmental	17513358	NORTHWESTERN UNIVERSITY	2019	public	"fastq,sra,run.zq"	"gs,s3,ncbi"	"ncbi.public,gs.US,s3.us-east-1"	SRX9291050	Mexico	North America	Mexico: Veracruz	Homo sapiens	Illumina MiSeq	23	skin	19.18 N 96.14 W	11-MEX-AP-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:05:00Z	1	Amato-262-HSAP-MEX-19-MM-11-AP-DRY-F	SRP287343
SRR12823345	AMPLICON	602	30201738	PRJNA669115	SAMN16434711	Metagenome or environmental	19826834	NORTHWESTERN UNIVERSITY	2019	public	"fastq,sra,run.zq"	"s3,gs,ncbi"	"s3.us-east-1,gs.US,ncbi.public"	SRX9291049	Mexico	North America	Mexico: Veracruz	Homo sapiens	Illumina MiSeq	153	skin	19.18 N 96.14 W	22-MEX-HA-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:05:00Z	1	Amato-261-HSAP-MEX-19-MM-22-HA-DRY-F	SRP287343
SRR12823346	AMPLICON	602	33064850	PRJNA669115	SAMN16434699	Metagenome or environmental	21902610	NORTHWESTERN UNIVERSITY	2019	public	"fastq,run.zq,sra"	"s3,ncbi,gs"	"gs.US,s3.us-east-1,ncbi.public"	SRX9291048	Mexico	North America	Mexico: Veracruz	Homo sapiens	Illumina MiSeq	141	skin	19.18 N 96.14 W	21-MEX-HA-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:05:00Z	1	Amato-260-HSAP-MEX-19-MM-21-HA-DRY-F	SRP287343
SRR12823347	AMPLICON	602	36269898	PRJNA669115	SAMN16434665	Metagenome or environmental	24089108	NORTHWESTERN UNIVERSITY	2019	public	"fastq,run.zq,sra"	"s3,gs,ncbi"	"s3.us-east-1,gs.US,ncbi.public"	SRX9291047	Mexico	North America	Mexico: Veracruz	Homo sapiens	Illumina MiSeq	107	skin	19.18 N 96.14 W	19-MEX-HA-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:05:00Z	1	Amato-259-HSAP-MEX-19-MM-19-HA-DRY-F	SRP287343
SRR12823348	AMPLICON	602	36803270	PRJNA669115	SAMN16434627	Metagenome or environmental	24446069	NORTHWESTERN UNIVERSITY	2019	public	"fastq,run.zq,sra"	"s3,gs,ncbi"	"gs.US,ncbi.public,s3.us-east-1"	SRX9291046	Mexico	North America	Mexico: Veracruz	Homo sapiens	Illumina MiSeq	69	skin	19.18 N 96.14 W	15-MEX-HA-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:05:00Z	1	Amato-257-HSAP-MEX-19-MM-15-HA-DRY-F	SRP287343
SRR12823349	AMPLICON	602	37567208	PRJNA669115	SAMN16434653	Metagenome or environmental	24601775	NORTHWESTERN UNIVERSITY	2019	public	"sra,run.zq,fastq"	"ncbi,gs,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX9291045	Mexico	North America	Mexico: Veracruz	Homo sapiens	Illumina MiSeq	95	skin	19.18 N 96.14 W	18-MEX-HA-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:05:00Z	1	Amato-258-HSAP-MEX-19-MM-18-HA-DRY-F	SRP287343
SRR12823350	AMPLICON	602	29726158	PRJNA669115	SAMN16434615	Metagenome or environmental	19482913	NORTHWESTERN UNIVERSITY	2019	public	"run.zq,sra,fastq"	"ncbi,gs,s3"	"gs.US,s3.us-east-1,ncbi.public"	SRX9291044	Mexico	North America	Mexico: Veracruz	Homo sapiens	Illumina MiSeq	57	skin	19.18 N 96.14 W	14-MEX-HA-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:05:00Z	1	Amato-256-HSAP-MEX-19-MM-14-HA-DRY-F	SRP287343
SRR12823351	AMPLICON	602	29255996	PRJNA669115	SAMN16434585	Metagenome or environmental	19133341	NORTHWESTERN UNIVERSITY	2019	public	"run.zq,sra,fastq"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX9291043	Mexico	North America	Mexico: Veracruz	Homo sapiens	Illumina MiSeq	27	skin	19.18 N 96.14 W	11-MEX-HA-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:05:00Z	1	Amato-255-HSAP-MEX-19-MM-11-HA-DRY-F	SRP287343
SRR12823352	AMPLICON	602	40134136	PRJNA669115	SAMN16434805	Metagenome or environmental	26208850	NORTHWESTERN UNIVERSITY	2019	public	"run.zq,sra,fastq"	"gs,s3,ncbi"	"s3.us-east-1,ncbi.public,gs.US"	SRX9291042	Mexico	North America	Mexico: Veracruz	Homo sapiens	Illumina MiSeq	247	skin	19.18 N 96.14 W	9-MEX-HA-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:05:00Z	1	Amato-244-HSAP-MEX-19-MM-9-HA-DRY-F	SRP287343
SRR12823353	AMPLICON	602	27522236	PRJNA669115	SAMN16434673	Metagenome or environmental	18221615	NORTHWESTERN UNIVERSITY	2019	public	"fastq,run.zq,sra"	"s3,ncbi,gs"	"gs.US,s3.us-east-1,ncbi.public"	SRX9291041	Mexico	North America	Mexico: Veracruz	Homo sapiens	Illumina MiSeq	115	skin	19.18 N 96.14 W	2-MEX-AP-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:05:00Z	1	Amato-183-HSAP-MEX-19-MM-2-AP-DRY-F	SRP287343
SRR12823354	AMPLICON	602	37473296	PRJNA669115	SAMN16434575	Metagenome or environmental	24685955	NORTHWESTERN UNIVERSITY	2019	public	"sra,run.zq,fastq"	"gs,s3,ncbi"	"ncbi.public,gs.US,s3.us-east-1"	SRX9291008	Mexico	North America	Mexico: Veracruz	Homo sapiens	Illumina MiSeq	17	skin	19.18 N 96.14 W	10-MEX-HA-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:05:00Z	1	Amato-243-HSAP-MEX-19-MM-10-HA-DRY-F	SRP287343
SRR12823355	AMPLICON	602	26672212	PRJNA669115	SAMN16434629	Metagenome or environmental	18007252	NORTHWESTERN UNIVERSITY	2019	public	"sra,run.zq,fastq"	"s3,ncbi,gs"	"s3.us-east-1,gs.US,ncbi.public"	SRX9291039	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	71	skin	41.85 N 87.65 W	15-USA-HA-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:05:00Z	1	Amato-350-HSAP-USA-19-MM-15-HA-DRY-F	SRP287343
SRR12823356	AMPLICON	602	36557654	PRJNA669115	SAMN16434647	Metagenome or environmental	24222352	NORTHWESTERN UNIVERSITY	2019	public	"sra,fastq,run.zq"	"ncbi,gs,s3"	"s3.us-east-1,gs.US,ncbi.public"	SRX9291038	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	89	skin	41.85 N 87.65 W	17-USA-AP-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:05:00Z	1	Amato-349-HSAP-USA-19-MM-17-AP-DRY-F	SRP287343
SRR12823357	AMPLICON	602	35746760	PRJNA669115	SAMN16434637	Metagenome or environmental	23318111	NORTHWESTERN UNIVERSITY	2019	public	"run.zq,fastq,sra"	"ncbi,s3,gs"	"gs.US,s3.us-east-1,ncbi.public"	SRX9291037	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	79	skin	41.85 N 87.65 W	16-USA-AP-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:05:00Z	1	Amato-347-HSAP-USA-19-MM-16-AP-DRY-F	SRP287343
SRR12823358	AMPLICON	602	35153188	PRJNA669115	SAMN16434639	Metagenome or environmental	23103726	NORTHWESTERN UNIVERSITY	2019	public	"run.zq,fastq,sra"	"gs,ncbi,s3"	"ncbi.public,gs.US,s3.us-east-1"	SRX9291036	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	81	skin	41.85 N 87.65 W	16-USA-FH-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:05:00Z	1	Amato-348-HSAP-USA-19-MM-16-FH-DRY-F	SRP287343
SRR12823359	AMPLICON	602	44621444	PRJNA669115	SAMN16434641	Metagenome or environmental	29924443	NORTHWESTERN UNIVERSITY	2019	public	"run.zq,sra,fastq"	"gs,s3,ncbi"	"ncbi.public,gs.US,s3.us-east-1"	SRX9291035	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	83	skin	41.85 N 87.65 W	16-USA-HA-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:05:00Z	1	Amato-346-HSAP-USA-19-MM-16-HA-DRY-F	SRP287343
