Feature ID	Taxon
seq34	Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; none; none
seq35	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; baumannii/bouvetii/haemolyticus/johnsonii/junii/lwoffii/oleivorans/oryzae/schindleri
seq36	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia; insidiosa/pickettii/solanacearum/syzygii
seq37	Bacteria; Cyanobacteria; Cyanobacteriia; Chloroplast; none; none; none
seq38	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Pasteurellaceae; Haemophilus; haemolyticus
seq39	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Enhydrobacter; aerosaccus
seq40	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Neisseriaceae; Neisseria; flava/meningitidis/mucosa/pharyngis/sicca
seq41	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Alloprevotella; none
seq42	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Alloprevotella; none
seq43	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia-Caballeronia-Paraburkholderia; none
seq44	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; cristatus/sanguinis
seq45	Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Family XI; Anaerococcus; none
seq46	Bacteria; Actinobacteriota; Actinobacteria; Propionibacteriales; Propionibacteriaceae; Cutibacterium; acnes
seq47	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Pasteurellaceae; Haemophilus; parainfluenzae
seq48	Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Micrococcaceae; Rothia; none
seq49	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Neisseriaceae; Neisseria; flavescens/perflava
seq50	Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Micrococcaceae; Rothia; none
seq51	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; australis/sanguinis
seq52	Bacteria; Cyanobacteria; Cyanobacteriia; Chloroplast; none; none; none
seq53	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Moraxella; catarrhalis/nonliquefaciens
seq54	Bacteria; Firmicutes; Negativicutes; Veillonellales-Selenomonadales; Veillonellaceae; Veillonella; parvula/rogosae/tobetsuensis
seq55	Bacteria; Fusobacteriota; Fusobacteriia; Fusobacteriales; Leptotrichiaceae; Leptotrichia; none
seq56	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Porphyromonadaceae; Porphyromonas; none
seq57	Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Family XI; Peptoniphilus; rhinitidis
seq58	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; bouvetii/haemolyticus/johnsonii/lwoffii
seq59	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Pasteurellaceae; Haemophilus; parainfluenzae
seq60	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; Lautropia; mirabilis
seq61	Bacteria; Firmicutes; Negativicutes; Veillonellales-Selenomonadales; Veillonellaceae; Veillonella; dispar/parvula
seq62	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Pasteurellaceae; Haemophilus; influenzae/parainfluenzae
seq63	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Pasteurellaceae; Haemophilus; influenzae/parainfluenzae
seq64	Bacteria; Firmicutes; Bacilli; Lactobacillales; Carnobacteriaceae; Granulicatella; none
seq65	Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Micrococcaceae; Kocuria; assamensis/palustris
seq66	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Porphyromonadaceae; Porphyromonas; none
seq67	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Neisseriaceae; none; none
seq68	Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Micrococcaceae; Rothia; mucilaginosa
seq69	Bacteria; Actinobacteriota; Actinobacteria; Actinomycetales; Actinomycetaceae; none; none
seq70	Bacteria; Actinobacteriota; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinomyces; odontolyticus
seq71	Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; aureus/epidermidis
seq72	Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Family XI; Peptoniphilus; harei
seq73	Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Micrococcaceae; Micrococcus; alkanovora/aloeverae/endophyticus/flavus/indicus/luteus/thailandicus/yunnanensis
seq74	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Bradyrhizobium; algeriense/americanum/arachidis/betae/cajani/canariense/centrosematis/daqingense/denitrificans/diazoefficiens/elkanii/embrapense/erythrophlei/ferriligni/group/guangxiense/huanghuaihaiense/icense/ingae/iriomotense/japonicum/jicamae/lablabi/liaoningense/lupini/mercantei/namibiense/neotropicale/ottawaense/pachyrhizi/paxllaeri/retamae/stylosanthis/tropiciagri/valentinum/viridifuturi/yuanmingense
seq75	Bacteria; Actinobacteriota; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; afermentans/coyleae/fournieri/ihumii/mucifaciens/pilbarense/ureicelerivorans
seq76	Bacteria; Firmicutes; Bacilli; Lactobacillales; Aerococcaceae; Abiotrophia; defectiva
seq77	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Oxalobacteraceae; Massilia; alkalitolerans/brevitalea/jejuensis/neuiana/niabensis/suwonensis/timonae/varians
seq78	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella_9; none
seq79	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; mitis/phage/pneumoniae/pseudopneumoniae
seq80	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Rhodanobacteraceae; none; none
seq81	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Alloprevotella; none
seq82	Bacteria; Cyanobacteria; Cyanobacteriia; Chloroplast; none; none; none
seq83	Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; argenteus/aureus/epidermidis
seq84	Bacteria; Actinobacteriota; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; massiliense
seq85	Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; aureus/epidermidis
seq86	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; salivarius
seq87	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus; delbrueckii
seq88	Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; none; none
seq89	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; lwoffii
seq90	Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; none
seq91	Bacteria; Campylobacterota; Campylobacteria; Campylobacterales; Campylobacteraceae; Campylobacter; ureolyticus
seq92	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia; detusculanense/insidiosa/mannitolilytica/pickettii/solanacearum/syzygii
seq93	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; salivarius
seq94	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella_9; copri
seq95	Bacteria; Deinococcota; Deinococci; Deinococcales; Deinococcaceae; Deinococcus; none
seq96	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; salivarius
seq97	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; none; none
seq98	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; garvieae/lactis/taiwanensis
seq99	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; salivarius
seq100	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; none
seq101	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Pasteurellaceae; none; none
seq102	Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; aureus/caprae/epidermidis
seq103	Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Family XI; Anaerococcus; none
seq104	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus; delbrueckii
seq105	Bacteria; Firmicutes; Bacilli; Lactobacillales; Aerococcaceae; Aerococcus; urinaeequi/viridans
seq106	Bacteria; Actinobacteriota; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinomyces; naeslundii/oris/viscosus
seq107	Bacteria; Cyanobacteria; Cyanobacteriia; Chloroplast; none; none; none
seq108	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; none; none; none
seq109	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; none; none
seq110	Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Family XI; Finegoldia; none
seq111	Bacteria; Firmicutes; Negativicutes; Veillonellales-Selenomonadales; Veillonellaceae; Veillonella; none
seq112	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; baumannii/beijerinckii/calcoaceticus/dispersus/gyllenbergii/haemolyticus/junii/oryzae/parvus/tandoii/tjernbergiae
seq113	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; cristatus/gordonii/mitis/sanguinis
seq114	Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; arlettae/aureus/cohnii/edaphicus/equorum/gallinarum/haemolyticus/nepalensis/saccharolyticus/saprophyticus/succinus/xylosus
seq115	Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Family XI; Peptoniphilus; none
seq116	Bacteria; Actinobacteriota; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; kroppenstedtii
seq117	Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Family XI; Anaerococcus; none
seq118	Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; aureus
seq119	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Alloprevotella; none
seq120	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus; iners
seq121	Bacteria; Actinobacteriota; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; coyleae/mucifaciens
seq122	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Aeromonadaceae; Aeromonas; allosaccharophila/aquatica/aquatilis/australiensis/bestiarum/bivalvium/cavernicola/caviae/crassostreae/dhakensis/diversa/encheleia/enterica/enteropelogenes/eucrenophila/finlandensis/hydrophila/intestinalis/jandaei/lacus/lusitana/media/molluscorum/piscicola/popoffii/rivipollensis/rivuli/salmonicida/sanarellii/sobria/taiwanensis/tecta/veronii
seq123	Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Family XI; Anaerococcus; none
seq124	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; baumannii/septicus/ursingii
seq125	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Neisseriaceae; none; none
seq126	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; cristatus/sinensis
seq127	Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; none
seq128	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; equinus/suis
seq129	Bacteria; Firmicutes; Negativicutes; Veillonellales-Selenomonadales; Veillonellaceae; Veillonella; atypica/parvula
seq130	Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Micrococcaceae; Glutamicibacter; arilaitensis/halophytocola/mysorens/nicotianae/protophormiae/soli/uratoxydans
seq131	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus; delbrueckii
seq132	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; alkylphenolica/argentinensis/benzenivorans/cremoricolorata/flavescens/fluorescens/fulva/hunanensis/monteilii/mosselii/oryzihabitans/parafulva/plecoglossicida/punonensis/putida/segetis/soli/straminea/taiwanensis
seq133	Bacteria; Actinobacteriota; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; breve/kashiwanohense/longum
seq134	Bacteria; Fusobacteriota; Fusobacteriia; Fusobacteriales; Leptotrichiaceae; Streptobacillus; none
seq135	Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Family XI; Finegoldia; none
seq136	Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Brevundimonas; albigilva/nasdae/vesicularis
seq137	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Leuconostoc; carnosum/citreum/garlicum/gelidum/holzapfelii/lactis/mesenteroides
seq138	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; faecichinchillae/faecis/thetaiotaomicron
seq139	Bacteria; Fusobacteriota; Fusobacteriia; Fusobacteriales; Leptotrichiaceae; Leptotrichia; none
seq140	Bacteria; Actinobacteriota; Actinobacteria; Corynebacteriales; Tsukamurellaceae; Tsukamurella; columbiensis/hominis/hongkongensis/ocularis/pseudospumae/pulmonis/sinensis/spumae/tyrosinosolvens
seq141	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Oxalobacteraceae; Massilia; haematophila/varians
seq142	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Alloprevotella; none
seq143	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
seq144	Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Dermabacteraceae; Brachybacterium; arcticum/faecium/ginsengisoli/paraconglomeratum/sacelli
seq145	Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; none
seq146	Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; none
seq147	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Oxalobacteraceae; Massilia; haematophila
seq148	Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; aureus
seq149	Bacteria; Actinobacteriota; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinomyces; none
seq150	Bacteria; Deinococcota; Deinococci; Deinococcales; Deinococcaceae; Deinococcus; none
seq151	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Pasteurellaceae; Haemophilus; parainfluenzae
seq152	Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; aureus
seq153	Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; Lachnoanaerobaculum; none
seq154	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; equinus/gallolyticus/infantarius/lutetiensis
seq155	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; baumannii/calcoaceticus/indicus/junii/lactucae/nosocomialis/oleivorans/pittii/rhizosphaerae/seifertii
seq156	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Neisseriaceae; Neisseria; none
seq157	Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; cohnii/equorum/haemolyticus/lugdunensis
seq158	Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Micrococcaceae; Pseudarthrobacter; none
seq159	Bacteria; Bacteroidota; Bacteroidia; Flavobacteriales; Weeksellaceae; Chryseobacterium; hominis
seq160	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Neisseriaceae; none; none
seq161	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Pasteurellaceae; Haemophilus; influenzae/parainfluenzae
seq162	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Neisseriaceae; Eikenella; none
seq163	Bacteria; Actinobacteriota; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Lawsonella; none
seq164	Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Micrococcaceae; Pseudoglutamicibacter; albus/cumminsii
seq165	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; albus/aryabhattai/bingmayongensis/flexus/ginsengisoli/horikoshii/huizhouensis/licheniformis/megaterium/meqaterium/oryzaecorticis/pumilus/qingshengii/simplex/subtilis/thuringiensis
seq166	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; aeruginosa/oleovorans/oryzihabitans/psychrotolerans
seq167	Bacteria; Desulfobacterota; Desulfuromonadia; Desulfuromonadales; Geoalkalibacteraceae; Geoalkalibacter; none
seq168	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; aeruginosa/mendocina/putida/songnenensis/stutzeri/xanthomarina
seq169	Bacteria; Actinobacteriota; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; matruchotii
seq170	Bacteria; Firmicutes; Negativicutes; Veillonellales-Selenomonadales; Veillonellaceae; Veillonella; none
seq171	Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Family XI; Anaerococcus; none
seq172	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Oxalobacteraceae; Massilia; agri/alkalitolerans/brevitalea/consociata/haematophila/tieshanensis/varians
seq173	Bacteria; Firmicutes; Clostridia; Oscillospirales; Ruminococcaceae; Faecalibacterium; prausnitzii
seq174	Bacteria; Fusobacteriota; Fusobacteriia; Fusobacteriales; Fusobacteriaceae; Fusobacterium; canifelinum/nucleatum
seq175	Bacteria; Fusobacteriota; Fusobacteriia; Fusobacteriales; Leptotrichiaceae; Leptotrichia; none
seq176	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; baumannii/beijerinckii/bereziniae/calcoaceticus/courvalinii/guillouiae/gyllenbergii/haemolyticus/indicus/johnsonii/junii/lwoffii/modestus/parvus/plantarum/proteolyticus/tandoii/vivianii/wuhouensis
seq177	Bacteria; Firmicutes; Negativicutes; Veillonellales-Selenomonadales; Veillonellaceae; Negativicoccus; succinicivorans
seq178	Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Micrococcaceae; Rothia; mucilaginosa
seq179	Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; Oribacterium; sinus
seq180	Bacteria; Actinobacteriota; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinomyces; none
seq181	Bacteria; Fusobacteriota; Fusobacteriia; Fusobacteriales; Leptotrichiaceae; Leptotrichia; none
seq182	Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Dermabacteraceae; Brachybacterium; alimentarium/conglomeratum/faecium/paraconglomeratum/sacelli/saurashtrense
seq183	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; alactolyticus/equinus/gallolyticus/macedonicus/pasteuri/pasteurianus/thermophilus
seq184	Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; epidermidis
seq185	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Thermomonas; brevis
seq186	Bacteria; Fusobacteriota; Fusobacteriia; Fusobacteriales; Leptotrichiaceae; Leptotrichia; none
seq187	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Oxalobacteraceae; Massilia; aurea/brevitalea/cf./eurypsychrophila/glaciei/timonae/violaceinigra
seq188	Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Family XI; Peptoniphilus; grossensis
seq189	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella_7; histicola
seq190	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; auricularis/azotoformans/brenneri/canadensis/cedrina/cf./costantinii/extremorientalis/fluorescens/gessardii/grimontii/lactis/libanensis/lurida/mandelii/marginalis/paralactis/poae/proteolytica/putida/reactans/salomonii/simiae/syncyanea/synxantha/tolaasii/trivialis
seq191	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Neisseriaceae; Neisseria; none
seq192	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Neisseriaceae; none; none
seq193	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Pasteurellaceae; Haemophilus; none
seq194	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Alloprevotella; none
seq195	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; nanceiensis
seq196	Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Micrococcaceae; Glutamicibacter; none
seq197	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Pasteurellaceae; Actinobacillus; none
seq198	Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Micrococcaceae; Rothia; mucilaginosa
seq199	Bacteria; Firmicutes; Bacilli; Staphylococcales; Gemellaceae; Gemella; none
seq200	Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Family XI; Anaerococcus; provencensis
seq201	Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Intrasporangiaceae; Janibacter; none
seq202	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Alloprevotella; none
seq203	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Pasteurellaceae; Haemophilus; none
seq204	Bacteria; Actinobacteriota; Actinobacteria; Corynebacteriales; Nocardiaceae; Williamsia; spongiae
seq205	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; none; none; none
seq206	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; nanceiensis
seq207	Bacteria; Actinobacteriota; Actinobacteria; Propionibacteriales; Propionibacteriaceae; none; none
seq208	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Alloprevotella; none
seq209	Bacteria; Actinobacteriota; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; durum
seq210	Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Micrococcaceae; Rothia; aeria/dentocariosa
seq211	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus; acidophilus/delbrueckii/fermentum/helveticus/plantarum/rhamnosus
seq212	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Neisseriaceae; Kingella; none
seq213	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus; delbrueckii
